"repeat_id","scenario","model","metric","value","n_evaluated","evaluation_set","metric_status","metric_warning","unit"
2,"training_prevalence","logistic","calibration_in_the_large",0.00000196191825139274,615,"same_complete_test_folds_615_per_repeat","available",,"log_odds"
2,"training_prevalence","logistic","calibration_slope",-9.07715308069942,615,"same_complete_test_folds_615_per_repeat","available",,"proportion_or_slope"
3,"primary","linear","r2",0.354729784144886,615,"same_complete_test_folds_615_per_repeat","available",,"proportion_or_slope"
3,"primary","linear","rmse",4.2961311684821,615,"same_complete_test_folds_615_per_repeat","available",,"degrees_delta"
3,"primary","linear","mae",3.41183131793747,615,"same_complete_test_folds_615_per_repeat","available",,"degrees_delta"
3,"primary","linear","mean_error",0.0204966031616583,615,"same_complete_test_folds_615_per_repeat","available",,"degrees_delta"
3,"primary","linear","calibration_intercept",-0.286931313067582,615,"same_complete_test_folds_615_per_repeat","available",,"degrees_delta"
3,"primary","linear","calibration_slope",0.934251004062864,615,"same_complete_test_folds_615_per_repeat","available",,"proportion_or_slope"
3,"influence_excluded_train_only","linear","r2",0.330760132366387,615,"same_complete_test_folds_615_per_repeat","available",,"proportion_or_slope"
3,"influence_excluded_train_only","linear","rmse",4.37519712726488,615,"same_complete_test_folds_615_per_repeat","available",,"degrees_delta"
3,"influence_excluded_train_only","linear","mae",3.42358939036876,615,"same_complete_test_folds_615_per_repeat","available",,"degrees_delta"
3,"influence_excluded_train_only","linear","mean_error",-0.168681787704272,615,"same_complete_test_folds_615_per_repeat","available",,"degrees_delta"
3,"influence_excluded_train_only","linear","calibration_intercept",-0.607485658659984,615,"same_complete_test_folds_615_per_repeat","available",,"degrees_delta"
3,"influence_excluded_train_only","linear","calibration_slope",0.902196852735656,615,"same_complete_test_folds_615_per_repeat","available",,"proportion_or_slope"
3,"hypercorrection_excluded_train_only","linear","r2",0.354173995816409,615,"same_complete_test_folds_615_per_repeat","available",,"proportion_or_slope"
3,"hypercorrection_excluded_train_only","linear","rmse",4.29798095603455,615,"same_complete_test_folds_615_per_repeat","available",,"degrees_delta"
3,"hypercorrection_excluded_train_only","linear","mae",3.4151896357988,615,"same_complete_test_folds_615_per_repeat","available",,"degrees_delta"
3,"hypercorrection_excluded_train_only","linear","mean_error",0.0356863674517938,615,"same_complete_test_folds_615_per_repeat","available",,"degrees_delta"
3,"hypercorrection_excluded_train_only","linear","calibration_intercept",-0.330914890189257,615,"same_complete_test_folds_615_per_repeat","available",,"degrees_delta"
3,"hypercorrection_excluded_train_only","linear","calibration_slope",0.921849599183228,615,"same_complete_test_folds_615_per_repeat","available",,"proportion_or_slope"
3,"cobb_baseline_augmented","linear","r2",0.375271707565591,615,"same_complete_test_folds_615_per_repeat","available",,"proportion_or_slope"
3,"cobb_baseline_augmented","linear","rmse",4.22719527171693,615,"same_complete_test_folds_615_per_repeat","available",,"degrees_delta"
3,"cobb_baseline_augmented","linear","mae",3.3887116613937,615,"same_complete_test_folds_615_per_repeat","available",,"degrees_delta"
3,"cobb_baseline_augmented","linear","mean_error",0.0171166966820506,615,"same_complete_test_folds_615_per_repeat","available",,"degrees_delta"
3,"cobb_baseline_augmented","linear","calibration_intercept",-0.273168866178512,615,"same_complete_test_folds_615_per_repeat","available",,"degrees_delta"
3,"cobb_baseline_augmented","linear","calibration_slope",0.937872295772988,615,"same_complete_test_folds_615_per_repeat","available",,"proportion_or_slope"
3,"training_mean_delta","linear","r2",-0.00139826197899895,615,"same_complete_test_folds_615_per_repeat","available",,"proportion_or_slope"
3,"training_mean_delta","linear","rmse",5.35192648853194,615,"same_complete_test_folds_615_per_repeat","available",,"degrees_delta"
3,"training_mean_delta","linear","mae",4.25136238797687,615,"same_complete_test_folds_615_per_repeat","available",,"degrees_delta"
3,"training_mean_delta","linear","mean_error",-0.000209434229827113,615,"same_complete_test_folds_615_per_repeat","available",,"degrees_delta"
3,"training_mean_delta","linear","calibration_intercept",-46.3922321750858,615,"same_complete_test_folds_615_per_repeat","available",,"degrees_delta"
3,"training_mean_delta","linear","calibration_slope",-8.96590206575484,615,"same_complete_test_folds_615_per_repeat","available",,"proportion_or_slope"
3,"primary","logistic","auc",0.84354159168378,615,"same_complete_test_folds_615_per_repeat","available",,"proportion_or_slope"
3,"primary","logistic","brier_score",0.161869711143344,615,"same_complete_test_folds_615_per_repeat","available",,"squared_probability_error"
3,"primary","logistic","log_loss",0.492616661436503,615,"same_complete_test_folds_615_per_repeat","available",,"logarithmic_score"
3,"primary","logistic","calibration_in_the_large",0.00417552797437963,615,"same_complete_test_folds_615_per_repeat","available",,"log_odds"
3,"primary","logistic","calibration_slope",0.852692252892586,615,"same_complete_test_folds_615_per_repeat","available",,"proportion_or_slope"
3,"influence_excluded_train_only","logistic","auc",0.837920521669172,615,"same_complete_test_folds_615_per_repeat","available",,"proportion_or_slope"
3,"influence_excluded_train_only","logistic","brier_score",0.177972806261033,615,"same_complete_test_folds_615_per_repeat","available",,"squared_probability_error"
3,"influence_excluded_train_only","logistic","log_loss",0.751024967219491,615,"same_complete_test_folds_615_per_repeat","available",,"logarithmic_score"
3,"influence_excluded_train_only","logistic","calibration_in_the_large",0.087800130946465,615,"same_complete_test_folds_615_per_repeat","available",,"log_odds"
3,"influence_excluded_train_only","logistic","calibration_slope",0.30889013320261,615,"same_complete_test_folds_615_per_repeat","available",,"proportion_or_slope"
3,"hypercorrection_excluded_train_only","logistic","auc",0.84354159168378,615,"same_complete_test_folds_615_per_repeat","available",,"proportion_or_slope"
3,"hypercorrection_excluded_train_only","logistic","brier_score",0.161869781946513,615,"same_complete_test_folds_615_per_repeat","available",,"squared_probability_error"
3,"hypercorrection_excluded_train_only","logistic","log_loss",0.492616696357,615,"same_complete_test_folds_615_per_repeat","available",,"logarithmic_score"
3,"hypercorrection_excluded_train_only","logistic","calibration_in_the_large",0.00417665915723486,615,"same_complete_test_folds_615_per_repeat","available",,"log_odds"
3,"hypercorrection_excluded_train_only","logistic","calibration_slope",0.85269891970124,615,"same_complete_test_folds_615_per_repeat","available",,"proportion_or_slope"
3,"training_prevalence","logistic","auc",0.498412127114517,615,"same_complete_test_folds_615_per_repeat","available",,"proportion_or_slope"
3,"training_prevalence","logistic","brier_score",0.249762740707275,615,"same_complete_test_folds_615_per_repeat","available",,"squared_probability_error"
3,"training_prevalence","logistic","log_loss",0.692672588741323,615,"same_complete_test_folds_615_per_repeat","available",,"logarithmic_score"
3,"training_prevalence","logistic","calibration_in_the_large",0.00000196191825156981,615,"same_complete_test_folds_615_per_repeat","available",,"log_odds"
