"panel","x","smooth"
"residuo_vs_ajustado",-8.28953485786764,-0.0312220449766315
"residuo_vs_ajustado",-8.28953485786764,-0.0312220449766315
"residuo_vs_ajustado",-8.25575392762887,-0.0336748861959019
"residuo_vs_ajustado",-8.18075120804174,-0.0391208511489207
"residuo_vs_ajustado",-8.18075120804173,-0.0391208511489209
"residuo_vs_ajustado",-8.17409443175518,-0.0396042012268413
"residuo_vs_ajustado",-8.17409443175518,-0.0396042012268413
"residuo_vs_ajustado",-8.12804928501613,-0.042947550065094
"residuo_vs_ajustado",-8.12804928501613,-0.042947550065094
"residuo_vs_ajustado",-8.12092890654223,-0.0434645624059072
"residuo_vs_ajustado",-8.07524415525459,-0.0457945466786132
"residuo_vs_ajustado",-8.07524415525459,-0.0457945466786132
"residuo_vs_ajustado",-8.06390050444183,-0.0463730882541683
"residuo_vs_ajustado",-8.06390050444183,-0.0463730882541683
"residuo_vs_ajustado",-8.03600166652891,-0.0477959668237503
"residuo_vs_ajustado",-8.0060240677692,-0.0493248650157055
"residuo_vs_ajustado",-7.94544245268852,-0.0524146095447801
"residuo_vs_ajustado",-7.94544245268852,-0.0524146095447801
"residuo_vs_ajustado",-7.91864572539018,-0.0537812789783509
"residuo_vs_ajustado",-7.91864572539018,-0.0537812789783512
"residuo_vs_ajustado",-7.91645000296561,-0.0538932637998126
"residuo_vs_ajustado",-7.9164500029655,-0.0538932637998184
"residuo_vs_ajustado",-7.85993968235561,-0.0567934639817132
"residuo_vs_ajustado",-7.85993968235561,-0.0567934639817132
"residuo_vs_ajustado",-7.7765199111795,-0.061074700274969
"residuo_vs_ajustado",-7.75074118476662,-0.062397705811387
"residuo_vs_ajustado",-7.7358366803508,-0.0631626288546698
"residuo_vs_ajustado",-7.73391685646086,-0.0632611572922138
"residuo_vs_ajustado",-7.73391685646086,-0.0632611572922138
"residuo_vs_ajustado",-7.67011832376818,-0.066192236360467
"residuo_vs_ajustado",-7.67011832376818,-0.066192236360467
"residuo_vs_ajustado",-7.66978713284749,-0.0662074521771053
"residuo_vs_ajustado",-7.62765760255775,-0.0681429980145374
"residuo_vs_ajustado",-7.62133190526847,-0.0684336178475361
"residuo_vs_ajustado",-7.62133190526847,-0.0684336178475361
"residuo_vs_ajustado",-7.61091289960856,-0.0689122954614696
"residuo_vs_ajustado",-7.57491629345407,-0.0705660779917955
"residuo_vs_ajustado",-7.56855491101821,-0.0708583372980197
"residuo_vs_ajustado",-7.37873564978687,-0.0819984209622223
"residuo_vs_ajustado",-7.37873564978687,-0.0819984209622223
"residuo_vs_ajustado",-7.32529753131296,-0.0862438688000263
"residuo_vs_ajustado",-7.29974691796911,-0.0882737642992135
"residuo_vs_ajustado",-7.29974691796911,-0.0882737642992137
"residuo_vs_ajustado",-7.29305275455196,-0.0888055891915727
"residuo_vs_ajustado",-7.29305275455196,-0.0888055891915727
"residuo_vs_ajustado",-7.2431557510189,-0.0927697094078512
"residuo_vs_ajustado",-7.2431557510189,-0.0927697094078512
"residuo_vs_ajustado",-7.15088928550124,-0.100099916341035
"residuo_vs_ajustado",-7.13205956776905,-0.101328093224454
"residuo_vs_ajustado",-7.13205956776902,-0.101328093224456
"residuo_vs_ajustado",-7.1143070323558,-0.102486010402328
"residuo_vs_ajustado",-7.10864383072283,-0.102855395298623
"residuo_vs_ajustado",-7.10864383072283,-0.102855395298623
"residuo_vs_ajustado",-7.0449703509407,-0.107008526910444
"residuo_vs_ajustado",-7.04030123004547,-0.107313072439536
"residuo_vs_ajustado",-7.03847401387474,-0.107432253443405
"residuo_vs_ajustado",-7.02887738950277,-0.108058197622715
"residuo_vs_ajustado",-7.02887738950277,-0.108058197622715
"residuo_vs_ajustado",-7.01453803332827,-0.108993488635948
"residuo_vs_ajustado",-7.01453803332827,-0.108993488635948
"residuo_vs_ajustado",-7.00918489792412,-0.109342649321769
"residuo_vs_ajustado",-7.00918489792412,-0.109342649321769
"residuo_vs_ajustado",-7.00154149361981,-0.109841193835855
"residuo_vs_ajustado",-7.00154149361981,-0.109841193835855
"residuo_vs_ajustado",-6.97857282960941,-0.111339335368394
"residuo_vs_ajustado",-6.92220382396761,-0.115016029339871
"residuo_vs_ajustado",-6.92220382396761,-0.115016029339871
"residuo_vs_ajustado",-6.90872372103928,-0.11589527517022
"residuo_vs_ajustado",-6.90872372103928,-0.11589527517022
"residuo_vs_ajustado",-6.88719010021047,-0.116976588944364
"residuo_vs_ajustado",-6.88719010021047,-0.116976588944364
"residuo_vs_ajustado",-6.88719010021047,-0.116976588944364
"residuo_vs_ajustado",-6.86530325207266,-0.11807564007711
"residuo_vs_ajustado",-6.86530325207266,-0.11807564007711
"residuo_vs_ajustado",-6.84386331136548,-0.119152249690877
"residuo_vs_ajustado",-6.79126911430871,-0.12179327463367
"residuo_vs_ajustado",-6.79126911430871,-0.12179327463367
"residuo_vs_ajustado",-6.77277923690972,-0.122721746406843
"residuo_vs_ajustado",-6.77277923690972,-0.122721746406843
"residuo_vs_ajustado",-6.70826505387518,-0.125961335108506
"residuo_vs_ajustado",-6.70355553585595,-0.126197824212882
"residuo_vs_ajustado",-6.69585397367742,-0.126584559232147
"residuo_vs_ajustado",-6.69585397367742,-0.126584559232147
"residuo_vs_ajustado",-6.676736948214,-0.127544523332871
"residuo_vs_ajustado",-6.658453881292,-0.12721201278629
"residuo_vs_ajustado",-6.63562718825918,-0.126796868204183
"residuo_vs_ajustado",-6.63562718825918,-0.126796868204183
"residuo_vs_ajustado",-6.60941180356986,-0.126320094152595
"residuo_vs_ajustado",-6.60941180356986,-0.126320094152595
"residuo_vs_ajustado",-6.60056385287624,-0.126159178211423
"residuo_vs_ajustado",-6.52930991566998,-0.124863296852593
"residuo_vs_ajustado",-6.5155979413337,-0.124613919868922
"residuo_vs_ajustado",-6.5155979413337,-0.124613919868922
"residuo_vs_ajustado",-6.48476751692987,-0.124053212996625
"residuo_vs_ajustado",-6.46318367241014,-0.12366067185628
"residuo_vs_ajustado",-6.4381293177818,-0.123205013230338
"residuo_vs_ajustado",-6.42067710390151,-0.121310122237692
"residuo_vs_ajustado",-6.42067710390151,-0.121310122237691
"residuo_vs_ajustado",-6.40383963251345,-0.119481977505394
"residuo_vs_ajustado",-6.40383963251345,-0.119481977505394
"residuo_vs_ajustado",-6.37517817040722,-0.116370031550931
"residuo_vs_ajustado",-6.37517817040722,-0.116370031550931
"residuo_vs_ajustado",-6.33595628102046,-0.112111476996
"residuo_vs_ajustado",-6.29163432998638,-0.107299178317615
"residuo_vs_ajustado",-6.2862776799946,-0.106717574866625
"residuo_vs_ajustado",-6.2862776799946,-0.106717574866625
"residuo_vs_ajustado",-6.26397371211706,-0.104295899993664
"residuo_vs_ajustado",-6.26397371211706,-0.104295899993664
"residuo_vs_ajustado",-6.23509800305799,-0.101160691969191
"residuo_vs_ajustado",-6.23509800305799,-0.101160691969191
"residuo_vs_ajustado",-6.23018880135898,-0.100627670649126
"residuo_vs_ajustado",-6.23018880135898,-0.100627670649126
"residuo_vs_ajustado",-6.20479778606389,-0.0978708166186371
"residuo_vs_ajustado",-6.18921586723405,-0.0950798606270104
"residuo_vs_ajustado",-6.17513151985371,-0.0925571422032658
"residuo_vs_ajustado",-6.17027458394209,-0.0916871919403019
"residuo_vs_ajustado",-6.17027458394209,-0.0916871919403019
