"family","repeat_id","outer_fold","metric","flexible","frozen","difference_flexible_minus_frozen","absolute_difference"
"logistic",2,1,"log_loss",0.466669814615325,0.504397777279034,-0.0377279626637089,0.0377279626637089
"logistic",2,1,"calibration_intercept",0.214823197178479,0.467116491947939,-0.25229329476946,0.25229329476946
"logistic",2,1,"calibration_slope",1.01352568126994,0.811063837226284,0.202461844043653,0.202461844043653
"continuous",3,1,"r2",0.295767117220546,0.185337359904646,0.1104297573159,0.1104297573159
"continuous",3,1,"rmse",4.0128551786897,4.31602783515043,-0.303172656460727,0.303172656460727
"continuous",3,1,"mae",3.08744793041256,3.41860066885113,-0.331152738438568,0.331152738438568
"continuous",3,1,"auc",,,,
"continuous",3,1,"brier_score",,,,
"continuous",3,1,"log_loss",,,,
"continuous",3,1,"calibration_intercept",-0.0959840598623012,-1.39385031221974,1.29786625235744,1.29786625235744
"continuous",3,1,"calibration_slope",1.09954102707589,0.731098812241356,0.368442214834534,0.368442214834534
"logistic",3,1,"r2",,,,
"logistic",3,1,"rmse",,,,
"logistic",3,1,"mae",,,,
"logistic",3,1,"auc",0.795833333333333,0.773958333333333,0.021875,0.021875
"logistic",3,1,"brier_score",0.185793149773983,0.197071987919167,-0.0112788381451836,0.0112788381451836
"logistic",3,1,"log_loss",0.550523416449437,0.598106400829143,-0.0475829843797061,0.0475829843797061
"logistic",3,1,"calibration_intercept",0.118954592130137,0.113941058302875,0.00501353382726195,0.00501353382726195
"logistic",3,1,"calibration_slope",0.912712024982075,0.62052912353731,0.292182901444765,0.292182901444765
"continuous",4,1,"r2",0.418072866193902,0.373798347274424,0.0442745189194779,0.0442745189194779
"continuous",4,1,"rmse",3.61416311605897,3.74913043694664,-0.134967320887673,0.134967320887673
"continuous",4,1,"mae",3.02429686290632,3.11163635517915,-0.0873394922728266,0.0873394922728266
"continuous",4,1,"auc",,,,
"continuous",4,1,"brier_score",,,,
"continuous",4,1,"log_loss",,,,
"continuous",4,1,"calibration_intercept",0.767461887185854,-0.449542809252995,1.21700469643885,1.21700469643885
"continuous",4,1,"calibration_slope",1.09044646716882,0.875376538257413,0.215069928911403,0.215069928911403
"logistic",4,1,"r2",,,,
"logistic",4,1,"rmse",,,,
"logistic",4,1,"mae",,,,
"logistic",4,1,"auc",0.829166666666667,0.861458333333333,-0.0322916666666666,0.0322916666666666
"logistic",4,1,"brier_score",0.165848374196249,0.1530908417469,0.0127575324493492,0.0127575324493492
"logistic",4,1,"log_loss",0.491814653139874,0.463270089227846,0.0285445639120274,0.0285445639120274
"logistic",4,1,"calibration_intercept",-0.237454741380831,-0.248501452607235,0.0110467112264045,0.0110467112264045
"logistic",4,1,"calibration_slope",1.01353761015891,0.920067690427907,0.0934699197310028,0.0934699197310028
"continuous",5,1,"r2",0.395546736235381,0.2911631612655,0.104383574969881,0.104383574969881
"continuous",5,1,"rmse",4.16093778681551,4.50591504217865,-0.34497725536314,0.34497725536314
"continuous",5,1,"mae",3.25621604114455,3.52853285673112,-0.272316815586565,0.272316815586565
"continuous",5,1,"auc",,,,
"continuous",5,1,"brier_score",,,,
"continuous",5,1,"log_loss",,,,
"continuous",5,1,"calibration_intercept",0.583221322029252,-0.774707420990955,1.35792874302021,1.35792874302021
"continuous",5,1,"calibration_slope",1.12511277858004,0.808031764679081,0.317081013900954,0.317081013900954
"logistic",5,1,"r2",,,,
"logistic",5,1,"rmse",,,,
"logistic",5,1,"mae",,,,
"logistic",5,1,"auc",0.875,0.866666666666667,0.0083333333333333,0.0083333333333333
"logistic",5,1,"brier_score",0.143000092229407,0.145395631874353,-0.00239553964494629,0.00239553964494629
"logistic",5,1,"log_loss",0.447335705839808,0.469111321011252,-0.021775615171444,0.021775615171444
"logistic",5,1,"calibration_intercept",0.0783502735745563,-0.0333866955636537,0.11173696913821,0.11173696913821
"logistic",5,1,"calibration_slope",1.09038380003807,0.853596794129852,0.236787005908213,0.236787005908213
"continuous",1,2,"r2",0.42449068406645,0.418442951556528,0.00604773250992263,0.00604773250992263
"continuous",1,2,"rmse",3.97226590455109,3.99308261294282,-0.0208167083917354,0.0208167083917354
"continuous",1,2,"mae",3.17675190833444,3.16227492188491,0.0144769864495307,0.0144769864495307
"continuous",1,2,"auc",,,,
"continuous",1,2,"brier_score",,,,
"continuous",1,2,"log_loss",,,,
"continuous",1,2,"calibration_intercept",1.05506804714137,-0.346738805937516,1.40180685307889,1.40180685307889
"continuous",1,2,"calibration_slope",1.15543417098575,0.873903438111709,0.281530732874038,0.281530732874038
"logistic",1,2,"r2",,,,
"logistic",1,2,"rmse",,,,
"logistic",1,2,"mae",,,,
"logistic",1,2,"auc",0.748958333333333,0.773958333333333,-0.025,0.025
"logistic",1,2,"brier_score",0.213692261522422,0.202994990677788,0.0106972708446344,0.0106972708446344
"logistic",1,2,"log_loss",0.607527827396382,0.60519046148122,0.00233736591516209,0.00233736591516209
"logistic",1,2,"calibration_intercept",0.0274084377269531,0.14887223960224,-0.121463801875287,0.121463801875287
"logistic",1,2,"calibration_slope",0.635169483305685,0.559388094467411,0.0757813888382746,0.0757813888382746
"continuous",2,2,"r2",0.421644226118544,0.435425735656462,-0.0137815095379178,0.0137815095379178
"continuous",2,2,"rmse",4.29200693140243,4.24056198262718,0.0514449487752513,0.0514449487752513
"continuous",2,2,"mae",3.56672625793428,3.45123653959545,0.115489718338825,0.115489718338825
"continuous",2,2,"auc",,,,
"continuous",2,2,"brier_score",,,,
"continuous",2,2,"log_loss",,,,
"continuous",2,2,"calibration_intercept",2.18606739189417,0.383650530493581,1.80241686140059,1.80241686140059
"continuous",2,2,"calibration_slope",1.59674765361259,1.20941983083546,0.387327822777129,0.387327822777129
"logistic",2,2,"r2",,,,
"logistic",2,2,"rmse",,,,
"logistic",2,2,"mae",,,,
"logistic",2,2,"auc",0.883333333333333,0.88125,0.00208333333333333,0.00208333333333333
"logistic",2,2,"brier_score",0.14525911153172,0.140161781344505,0.00509733018721528,0.00509733018721528
"logistic",2,2,"log_loss",0.452694499547446,0.434681079638798,0.0180134199086486,0.0180134199086486
