"family","scope","repeat_id","outer_fold","config_id","alpha","lambda_fraction","mean_metric","sd_metric","se_metric","n_valid","n_converged","failure_reasons","n_failed","one_se_threshold","eligible_one_se","selected_one_se"
"logistic","outer",1,2,18,0.5,0.001,0.45395702245449,0.0323765565674579,0.0144792362724406,5,5,"none",0,0.465823435740627,TRUE,FALSE
"logistic","outer",1,2,19,0.75,0.001,0.450967836401741,0.0341979925927326,0.0152938072262769,5,5,"none",0,0.465823435740627,TRUE,FALSE
"logistic","outer",1,2,20,1,0.001,0.449072188470666,0.037456927603542,0.0167512472699616,5,5,"none",0,0.465823435740627,TRUE,FALSE
"continuous","outer",1,3,1,0,1,5.28820224728334,0.545147928271473,0.243797565081639,5,5,"none",0,4.42475570913069,FALSE,FALSE
"continuous","outer",1,3,2,0.25,1,5.4069696901125,0.54951517134984,0.245750655561137,5,5,"none",0,4.42475570913069,FALSE,FALSE
"continuous","outer",1,3,3,0.5,1,5.4069696901125,0.54951517134984,0.245750655561137,5,5,"none",0,4.42475570913069,FALSE,FALSE
"continuous","outer",1,3,4,0.75,1,5.4069696901125,0.54951517134984,0.245750655561137,5,5,"none",0,4.42475570913069,FALSE,FALSE
"continuous","outer",1,3,5,1,1,5.4069696901125,0.54951517134984,0.245750655561137,5,5,"none",0,4.42475570913069,FALSE,FALSE
"continuous","outer",1,3,6,0,0.1,4.75412083229817,0.523970683619652,0.234326813358116,5,5,"none",0,4.42475570913069,FALSE,FALSE
"continuous","outer",1,3,7,0.25,0.1,5.19074278057643,0.537842914030408,0.240530663397714,5,5,"none",0,4.42475570913069,FALSE,FALSE
"continuous","outer",1,3,8,0.5,0.1,5.4069696901125,0.54951517134984,0.245750655561137,5,5,"none",0,4.42475570913069,FALSE,FALSE
"continuous","outer",1,3,9,0.75,0.1,5.4069696901125,0.54951517134984,0.245750655561137,5,5,"none",0,4.42475570913069,FALSE,FALSE
"continuous","outer",1,3,10,1,0.1,5.4069696901125,0.54951517134984,0.245750655561137,5,5,"none",0,4.42475570913069,FALSE,FALSE
"continuous","outer",1,3,11,0,0.01,4.27913130665292,0.466434807152523,0.208595987173009,5,5,"none",0,4.42475570913069,TRUE,TRUE
"continuous","outer",1,3,12,0.25,0.01,4.33320141487155,0.454496627386739,0.203257070876228,5,5,"none",0,4.42475570913069,TRUE,FALSE
"continuous","outer",1,3,13,0.5,0.01,4.40941623052527,0.449433975620258,0.200992984176976,5,5,"none",0,4.42475570913069,TRUE,FALSE
"continuous","outer",1,3,14,0.75,0.01,4.48536014867912,0.454785592209752,0.203386299873701,5,5,"none",0,4.42475570913069,FALSE,FALSE
"continuous","outer",1,3,15,1,0.01,4.52897004372639,0.470756028870216,0.210528496274331,5,5,"none",0,4.42475570913069,FALSE,FALSE
"continuous","outer",1,3,16,0,0.001,4.2367657782156,0.431757201577794,0.193087690500605,5,5,"none",0,4.42475570913069,TRUE,FALSE
"continuous","outer",1,3,17,0.25,0.001,4.23277266846205,0.432832845510238,0.193568733091111,5,5,"none",0,4.42475570913069,TRUE,FALSE
"continuous","outer",1,3,18,0.5,0.001,4.23104441559476,0.433151620355765,0.193711293535934,5,5,"none",0,4.42475570913069,TRUE,FALSE
"continuous","outer",1,3,19,0.75,0.001,,,,2,2,"kkt_not_met",3,4.42475570913069,FALSE,FALSE
"continuous","outer",1,3,20,1,0.001,4.23696850469044,0.431916100868398,0.193158752423679,5,5,"none",0,4.42475570913069,TRUE,FALSE
"logistic","outer",1,3,1,0,1,0.647250136936817,0.00499746787591097,0.00223493557718168,5,5,"none",0,0.502034220160663,FALSE,FALSE
"logistic","outer",1,3,2,0.25,1,0.692679840605181,0.000154558200041579,0.0000691205283545962,5,5,"none",0,0.502034220160663,FALSE,FALSE
"logistic","outer",1,3,3,0.5,1,0.692679840605181,0.000154558200041579,0.0000691205283545962,5,5,"none",0,0.502034220160663,FALSE,FALSE
"logistic","outer",1,3,4,0.75,1,0.692679840605181,0.000154558200041579,0.0000691205283545962,5,5,"none",0,0.502034220160663,FALSE,FALSE
"logistic","outer",1,3,5,1,1,0.692679840605181,0.000154558200041579,0.0000691205283545962,5,5,"none",0,0.502034220160663,FALSE,FALSE
"logistic","outer",1,3,6,0,0.1,0.539514478012613,0.0164807205231002,0.00737040228156558,5,5,"none",0,0.502034220160663,FALSE,FALSE
"logistic","outer",1,3,7,0.25,0.1,0.623136549624484,0.00983122099556491,0.00439665568958126,5,5,"none",0,0.502034220160663,FALSE,FALSE
"logistic","outer",1,3,8,0.5,0.1,0.692679840605181,0.000154558200041579,0.0000691205283545962,5,5,"none",0,0.502034220160663,FALSE,FALSE
"logistic","outer",1,3,9,0.75,0.1,0.692679840605181,0.000154558200041579,0.0000691205283545962,5,5,"none",0,0.502034220160663,FALSE,FALSE
"logistic","outer",1,3,10,1,0.1,0.692679840605181,0.000154558200041579,0.0000691205283545962,5,5,"none",0,0.502034220160663,FALSE,FALSE
"logistic","outer",1,3,11,0,0.01,0.485730311672239,0.0364566476790527,0.0163039084884244,5,5,"none",0,0.502034220160663,TRUE,TRUE
"logistic","outer",1,3,12,0.25,0.01,0.493180141768532,0.0278140458688284,0.0124388194583995,5,5,"none",0,0.502034220160663,TRUE,FALSE
"logistic","outer",1,3,13,0.5,0.01,0.510997944465012,0.0214187866390763,0.00957877258410778,5,5,"none",0,0.502034220160663,FALSE,FALSE
"logistic","outer",1,3,14,0.75,0.01,0.528508281955833,0.0195090761871668,0.00872472410654549,5,5,"none",0,0.502034220160663,FALSE,FALSE
"logistic","outer",1,3,15,1,0.01,0.536645020905072,0.0235286437416229,0.0105223293649287,5,5,"none",0,0.502034220160663,FALSE,FALSE
"logistic","outer",1,3,16,0,0.001,0.499145735265512,0.0620256078910586,0.0277386951180309,5,5,"none",0,0.502034220160663,TRUE,FALSE
"logistic","outer",1,3,17,0.25,0.001,0.494819925769421,0.0599431949918562,0.0268074117580631,5,5,"none",0,0.502034220160663,TRUE,FALSE
"logistic","outer",1,3,18,0.5,0.001,0.491327289552379,0.0580638286342368,0.0259669335720105,5,5,"none",0,0.502034220160663,TRUE,FALSE
"logistic","outer",1,3,19,0.75,0.001,0.488128510876505,0.0565395215484046,0.0252852427195094,5,5,"none",0,0.502034220160663,TRUE,FALSE
"logistic","outer",1,3,20,1,0.001,0.486226221584621,0.0545378467797181,0.0243900665491835,5,5,"none",0,0.502034220160663,TRUE,FALSE
"continuous","outer",1,4,1,0,1,5.14230386786754,0.276614822235332,0.123705909220445,5,5,"none",0,4.09057158814468,FALSE,FALSE
"continuous","outer",1,4,2,0.25,1,5.26040526404202,0.274465555825918,0.122744728061803,5,5,"none",0,4.09057158814468,FALSE,FALSE
"continuous","outer",1,4,3,0.5,1,5.26040526404202,0.274465555825918,0.122744728061803,5,5,"none",0,4.09057158814468,FALSE,FALSE
