"unit_type","unit","family","variable","component","additional","selection_count","selection_frequency","mean_abs_coefficient","median_abs_coefficient","n_models"
"componente","lenke__dummy_2","continuous","lenke","dummy",FALSE,50,1,1.02801563137074,1.03601646538334,50
"componente","lenke__dummy_2","logistic","lenke","dummy",FALSE,50,1,0.218823431189285,0.214641098374482,50
"componente","lenke__dummy_3","continuous","lenke","dummy",FALSE,50,1,1.14254679082016,1.12860751861075,50
"componente","lenke__dummy_3","logistic","lenke","dummy",FALSE,50,1,0.50189359165335,0.497339085943224,50
"componente","lenke__dummy_4","continuous","lenke","dummy",FALSE,50,1,1.41855348933071,1.36033358134934,50
"componente","lenke__dummy_4","logistic","lenke","dummy",FALSE,50,1,0.652238834587666,0.645762248460418,50
"componente","lenke__dummy_5","continuous","lenke","dummy",FALSE,50,1,0.985126744030025,0.969495010222533,50
"componente","lenke__dummy_5","logistic","lenke","dummy",FALSE,50,1,0.429053159400738,0.421193535381147,50
"componente","lenke__dummy_6","continuous","lenke","dummy",FALSE,50,1,0.0994224350710508,0.0721812454551653,50
"componente","lenke__dummy_6","logistic","lenke","dummy",FALSE,50,1,0.219123494840057,0.220496758356308,50
"componente","lordose_lombar__linear","continuous","lordose_lombar","linear",FALSE,50,1,0.140106135462729,0.13842748472842,50
"componente","lordose_lombar__linear","logistic","lordose_lombar","linear",FALSE,50,1,0.0382044477117489,0.0397606744328267,50
"componente","lordose_lombar__spline_1","continuous","lordose_lombar","spline",TRUE,50,1,0.15159017826893,0.149171036267307,50
"componente","lordose_lombar__spline_1","logistic","lordose_lombar","spline",TRUE,50,1,0.424723943343409,0.419713712802159,50
"componente","lordose_lombar__spline_2","continuous","lordose_lombar","spline",TRUE,50,1,2.70691681272533,2.68826776423014,50
"componente","lordose_lombar__spline_2","logistic","lordose_lombar","spline",TRUE,50,1,2.11037487027585,2.10939541390112,50
"componente","lordose_lombar__spline_3","continuous","lordose_lombar","spline",TRUE,50,1,0.111922735751623,0.089746135486463,50
"componente","lordose_lombar__spline_3","logistic","lordose_lombar","spline",TRUE,50,1,0.07938681593896,0.0578249610066321,50
"componente","risser__dummy_1","continuous","risser","dummy",FALSE,50,1,0.921472859164475,0.920236583098551,50
"componente","risser__dummy_1","logistic","risser","dummy",FALSE,50,1,0.935162024179839,0.932336954978083,50
"componente","risser__dummy_2","continuous","risser","dummy",FALSE,50,1,0.608641972728021,0.597263303628928,50
"componente","risser__dummy_2","logistic","risser","dummy",FALSE,50,1,0.279256908015706,0.280465973075349,50
"componente","risser__dummy_3","continuous","risser","dummy",FALSE,50,1,0.193748478660565,0.184594781269383,50
"componente","risser__dummy_3","logistic","risser","dummy",FALSE,50,1,0.176853420152942,0.176783715860373,50
"componente","risser__dummy_4","continuous","risser","dummy",FALSE,50,1,0.0725839661431002,0.0442927368653649,50
"componente","risser__dummy_4","logistic","risser","dummy",FALSE,50,1,0.221239923962035,0.218794090917251,50
"componente","sexo__dummy_masculino","continuous","sexo","dummy",FALSE,50,1,0.617779072635422,0.606039563348443,50
"componente","sexo__dummy_masculino","logistic","sexo","dummy",FALSE,50,1,0.777720372788501,0.779319553299843,50
"termo","cifose_toracica","continuous","cifose_toracica","term",TRUE,50,1,0.825383712171985,0.657964413090151,50
"termo","cifose_toracica","logistic","cifose_toracica","term",TRUE,50,1,0.567343623463032,0.557849001621841,50
"termo","cobb_inicial_maior","continuous","cobb_inicial_maior","term",TRUE,50,1,0.991359567369966,0.861414739695566,50
"termo","cobb_inicial_maior","logistic","cobb_inicial_maior","term",TRUE,50,1,0.335129187089067,0.200040858319826,50
"termo","correcao_colete","continuous","correcao_colete","term",TRUE,50,1,1.44235072526102,0.955603238329835,50
"termo","correcao_colete","logistic","correcao_colete","term",TRUE,50,1,0.916655084034846,0.856622278421168,50
"termo","correcao_colete_x_flexibilidade","continuous","correcao_colete_x_flexibilidade","term",TRUE,50,1,0.540713146509865,0.543725133013182,50
"termo","correcao_colete_x_flexibilidade","logistic","correcao_colete_x_flexibilidade","term",TRUE,50,1,0.540263103099934,0.53990481293917,50
