"family","feature","variable","component","additional","n_models","selection_frequency","mean_coefficient","mean_abs_coefficient","median_coefficient","q025","q975","sign_consistency"
"continuous","idade_x_risser__2","idade_x_risser","interaction",TRUE,50,1,-0.127327277916024,0.155107146412556,-0.133315090270036,-0.452619192119585,0.114134027051229,0.8
"logistic","idade_x_risser__2","idade_x_risser","interaction",TRUE,50,1,-0.0448320018966085,0.0828564118599779,-0.0712027823118828,-0.15423118310628,0.166769459414618,0.78
"continuous","idade_x_risser__3","idade_x_risser","interaction",TRUE,50,1,-0.000927767967660487,0.0502707474780775,0.015337477604439,-0.134602201298839,0.106812922484002,0.58
"logistic","idade_x_risser__3","idade_x_risser","interaction",TRUE,50,1,-0.0551886750171806,0.0682778866954279,-0.0527213215298387,-0.151813308693065,0.0786260965869037,0.78
"continuous","idade_x_risser__4","idade_x_risser","interaction",TRUE,50,1,0.09641027596589,0.100710194835469,0.100965977366617,-0.00232352193627103,0.191005277487268,0.96
"logistic","idade_x_risser__4","idade_x_risser","interaction",TRUE,50,1,-0.163500770090824,0.163500770090824,-0.165851358095894,-0.225085014742417,-0.0758174736131225,1
"continuous","imc__linear","imc","linear",FALSE,50,1,-0.0239008813322316,0.0305802850938266,-0.0246823975882255,-0.0796135587518181,0.0317243994574651,0.78
"logistic","imc__linear","imc","linear",FALSE,50,1,0.0527307935111138,0.0527307935111138,0.051466998973734,0.0185453281689895,0.0870138487459978,1
"continuous","imc__spline_1","imc","spline",TRUE,50,1,0.525981526308192,0.525981526308192,0.515738805867659,0.217417345282741,0.764134135410502,1
"logistic","imc__spline_1","imc","spline",TRUE,50,1,-0.257827792889467,0.258777675127164,-0.243302800294464,-0.465350074512944,-0.0236072202726335,0.98
"continuous","imc__spline_2","imc","spline",TRUE,50,1,-0.509278563654256,0.518231961162974,-0.528712311994708,-1.10165025799996,0.0563063592193584,0.94
"logistic","imc__spline_2","imc","spline",TRUE,50,1,0.0440936276851285,0.182207051880325,0.0429386881549304,-0.381940640003818,0.501427776454884,0.58
"continuous","imc__spline_3","imc","spline",TRUE,50,1,-0.622656664044362,0.628482298324997,-0.628885765123129,-0.993616310790909,-0.0447146096213122,0.98
"logistic","imc__spline_3","imc","spline",TRUE,50,1,0.84499658773323,0.84499658773323,0.862923124644734,0.427886528222636,1.0465194101201,1
"continuous","lenke__dummy_2","lenke","dummy",FALSE,50,1,-1.01203744942888,1.02801563137074,-1.03601646538334,-1.52388433096955,-0.63720961330264,0.98
"logistic","lenke__dummy_2","lenke","dummy",FALSE,50,1,0.214444955379097,0.218823431189285,0.214641098374482,-0.0115051496109211,0.481482269387163,0.96
"continuous","lenke__dummy_3","lenke","dummy",FALSE,50,1,1.14254679082016,1.14254679082016,1.12860751861075,0.964985442516679,1.34723927691073,1
"logistic","lenke__dummy_3","lenke","dummy",FALSE,50,1,-0.50189359165335,0.50189359165335,-0.497339085943224,-0.608523525623532,-0.389349803204609,1
"continuous","lenke__dummy_4","lenke","dummy",FALSE,50,1,1.41855348933071,1.41855348933071,1.36033358134934,1.19274532537273,1.66157958148075,1
"logistic","lenke__dummy_4","lenke","dummy",FALSE,50,1,-0.652238834587666,0.652238834587666,-0.645762248460418,-0.841435499776791,-0.469312541388583,1
"continuous","lenke__dummy_5","lenke","dummy",FALSE,50,1,-0.985126744030025,0.985126744030025,-0.969495010222533,-1.31665398087014,-0.718071400043024,1
"logistic","lenke__dummy_5","lenke","dummy",FALSE,50,1,0.429053159400738,0.429053159400738,0.421193535381147,0.276992994879178,0.69504396281613,1
"continuous","lenke__dummy_6","lenke","dummy",FALSE,50,1,0.0846880600880185,0.0994224350710508,0.0692335806813027,-0.0518304537592055,0.208948874170149,0.82
"logistic","lenke__dummy_6","lenke","dummy",FALSE,50,1,-0.219123494840057,0.219123494840057,-0.220496758356308,-0.32927814973033,-0.13316658117488,1
"continuous","lordose_lombar__linear","lordose_lombar","linear",FALSE,50,1,-0.140106135462729,0.140106135462729,-0.13842748472842,-0.190777558292414,-0.0988195902533843,1
"logistic","lordose_lombar__linear","lordose_lombar","linear",FALSE,50,1,0.0372935277543857,0.0382044477117489,0.0397606744328267,-0.00197945230496839,0.0731583405178307,0.92
"continuous","lordose_lombar__spline_1","lordose_lombar","spline",TRUE,50,1,0.121751307778355,0.15159017826893,0.136807115557965,-0.14849624449862,0.312973026614074,0.84
"logistic","lordose_lombar__spline_1","lordose_lombar","spline",TRUE,50,1,-0.424723943343409,0.424723943343409,-0.419713712802159,-0.589197195111431,-0.215614528349762,1
"continuous","lordose_lombar__spline_2","lordose_lombar","spline",TRUE,50,1,-2.70691681272533,2.70691681272533,-2.68826776423014,-3.2773863071939,-1.7861653280553,1
"logistic","lordose_lombar__spline_2","lordose_lombar","spline",TRUE,50,1,2.11037487027585,2.11037487027585,2.10939541390112,1.63518156041282,2.48045355266341,1
"continuous","lordose_lombar__spline_3","lordose_lombar","spline",TRUE,50,1,-0.0630278780344505,0.111922735751623,-0.0716994159180693,-0.29125717456773,0.19403874100912,0.68
"logistic","lordose_lombar__spline_3","lordose_lombar","spline",TRUE,50,1,-0.000949196636943624,0.07938681593896,0.00553161129520253,-0.244050670044941,0.161359090766175,0.54
"continuous","risser__dummy_1","risser","dummy",FALSE,50,1,-0.921472859164475,0.921472859164475,-0.920236583098551,-1.14058800815618,-0.703209979990419,1
"logistic","risser__dummy_1","risser","dummy",FALSE,50,1,0.935162024179839,0.935162024179839,0.932336954978083,0.811737401232644,1.11435341682164,1
"continuous","risser__dummy_2","risser","dummy",FALSE,50,1,-0.608641972728021,0.608641972728021,-0.597263303628928,-0.795328509910147,-0.384864502798201,1
"logistic","risser__dummy_2","risser","dummy",FALSE,50,1,0.279256908015706,0.279256908015706,0.280465973075349,0.164799571377275,0.37248205215895,1
"continuous","risser__dummy_3","risser","dummy",FALSE,50,1,-0.193748478660565,0.193748478660565,-0.184594781269383,-0.32778245458457,-0.0538653138139666,1
"logistic","risser__dummy_3","risser","dummy",FALSE,50,1,-0.176853420152942,0.176853420152942,-0.176783715860373,-0.286188834800078,-0.0768988082670257,1
"continuous","risser__dummy_4","risser","dummy",FALSE,50,1,-0.0226950401341654,0.0725839661431002,-0.0104287642718168,-0.144622074339333,0.129050123643614,0.58
"logistic","risser__dummy_4","risser","dummy",FALSE,50,1,0.221239923962035,0.221239923962035,0.218794090917251,0.0983047686642376,0.336442394208904,1
"continuous","sexo__dummy_masculino","sexo","dummy",FALSE,50,1,-0.617779072635422,0.617779072635422,-0.606039563348443,-0.921656946693551,-0.381662188431342,1
