"family","scope","repeat_id","outer_fold","n","r2","rmse","mae","calibration_intercept","calibration_slope","auc","brier_score","log_loss"
"logistic","outer_fold",4,5,62,,,,0.198464570567572,1.98559125681195,0.934375,0.113994040084824,0.378340354459821
"continuous","outer_fold",5,5,62,0.506285084769106,3.85823034340125,3.2358365837143,2.07542620739251,1.42769787094712,,,
"logistic","outer_fold",5,5,62,,,,-0.134970766590873,1.05954508948082,0.851041666666667,0.152686639288071,0.47721368556667
"continuous","outer_fold",1,6,62,0.299657193672812,4.26251253384564,3.26172708415589,0.892205874865499,1.15244868541875,,,
"logistic","outer_fold",1,6,62,,,,-0.259726149747506,1.25793713355793,0.842708333333333,0.159421455972016,0.487893388142427
"continuous","outer_fold",2,6,62,0.46884739795914,3.84849610165079,3.16281858587438,0.186076713576168,1.21773336198749,,,
"logistic","outer_fold",2,6,62,,,,0.186546845045397,1.49871520240783,0.914583333333333,0.122619823732878,0.395304848373836
"continuous","outer_fold",3,6,62,0.438382006728775,4.17422850728014,3.45513420079406,0.91080133210292,1.02017602331442,,,
"logistic","outer_fold",3,6,62,,,,-0.299274480626696,1.33573556265928,0.888541666666667,0.13939317637575,0.43481396460893
"continuous","outer_fold",4,6,62,0.446051502186766,3.99732641650729,3.419569089163,1.90684602362306,1.37875122348779,,,
"logistic","outer_fold",4,6,62,,,,0.164520357648319,1.58723235194373,0.845833333333333,0.159517528691404,0.473731206542371
"continuous","outer_fold",5,6,62,0.473290771985763,4.05426379122161,3.35491467485973,2.61419465897829,1.51943368534282,,,
"logistic","outer_fold",5,6,62,,,,-0.229901302231037,1.46173276993105,0.886458333333333,0.140306045242844,0.433436791190489
"continuous","outer_fold",1,7,62,0.501615810965437,3.80247895349368,3.2672818293351,1.8488631769387,1.33632734706656,,,
"logistic","outer_fold",1,7,62,,,,-0.0572068172546487,1.33074733186094,0.888541666666667,0.138821906133559,0.431136576479445
"continuous","outer_fold",2,7,62,0.361462698689819,4.30420952086575,3.29325900830845,0.175873184836304,1.10993237440486,,,
"logistic","outer_fold",2,7,62,,,,0.0969441180796587,1.21055113549822,0.854166666666667,0.163253693046096,0.492848521786033
"continuous","outer_fold",3,7,62,0.303017498458842,4.13563177192233,3.50035359112018,-0.131593618703179,0.913966024759641,,,
"logistic","outer_fold",3,7,62,,,,-0.0919688621863795,0.752141327121323,0.792708333333333,0.190473565188859,0.549703960964936
"continuous","outer_fold",4,7,62,0.427150994712247,3.6837675265653,2.87317973237549,1.48841227171531,1.25939886345795,,,
"logistic","outer_fold",4,7,62,,,,0.0716161290514278,1.39299575287718,0.879166666666667,0.143825746645178,0.440972797049684
"continuous","outer_fold",5,7,62,0.279432519730938,4.66237534201659,3.49245043321576,-0.177739213234411,1.14545997970938,,,
"logistic","outer_fold",5,7,62,,,,0.1358758398921,1.56365738977743,0.861458333333333,0.154223657674991,0.468783455245247
"continuous","outer_fold",1,8,61,0.260924096624126,4.78456754377461,3.59952503037704,0.0410607317945967,1.15577506891736,,,
"logistic","outer_fold",1,8,61,,,,0.157382379414346,1.06168576307075,0.812903225806452,0.179370449040852,0.530689158712215
"continuous","outer_fold",2,8,61,0.223643774362136,4.58637671504512,3.46765850013526,0.475594143200251,0.978347931490755,,,
"logistic","outer_fold",2,8,61,,,,-0.31800690872883,0.726740595019211,0.751075268817204,0.21395885128604,0.603565678192309
"continuous","outer_fold",3,8,61,0.422509929913442,4.4194231317054,3.73589899527566,1.23319822633679,1.27707882595297,,,
"logistic","outer_fold",3,8,61,,,,-0.173068510600398,1.66851049329341,0.909677419354839,0.129172332039681,0.407953117371305
"continuous","outer_fold",4,8,61,0.360751072972827,4.60388038775631,3.64109524999982,2.53946145753497,1.31521831337381,,,
"logistic","outer_fold",4,8,61,,,,-0.183931549057224,0.828588803884376,0.795698924731183,0.182005197963345,0.542577531557885
"continuous","outer_fold",5,8,61,0.315164093531244,4.2469866486873,3.52049135062631,0.505008591573962,0.945845975975354,,,
"logistic","outer_fold",5,8,61,,,,0.0106280854987582,1.05115006206332,0.836559139784946,0.15838497533784,0.484989544807494
"continuous","outer_fold",1,9,60,0.232224187089585,3.8989692350192,2.99896154525787,0.110222351892604,0.87668471744993,,,
"logistic","outer_fold",1,9,60,,,,0.0772691383109058,1.02551482149126,0.825361512791991,0.167242092363168,0.516308743675008
"continuous","outer_fold",2,9,60,0.368910256348631,4.1270341615165,3.36744330216066,1.51484513306436,1.21287576074155,,,
"logistic","outer_fold",2,9,60,,,,-0.315262741266672,1.26374132315434,0.828698553948832,0.164300098782784,0.493314798341338
"continuous","outer_fold",3,9,60,0.39420753380882,4.34011657783055,3.22023952695335,1.00263494690733,1.28369788128707,,,
"logistic","outer_fold",3,9,60,,,,0.160898322233506,1.01033687051768,0.852057842046719,0.152144857573132,0.485358424558564
"continuous","outer_fold",4,9,60,0.214756297858905,5.10099408808696,4.01810009990329,0.600499655300963,1.29434905914465,,,
"logistic","outer_fold",4,9,60,,,,-0.249598596102884,1.29155496652013,0.835372636262514,0.171805540909031,0.510661039144649
"continuous","outer_fold",5,9,60,0.302704083488943,4.3732234964734,3.22343189149128,-0.732751767205022,0.899707230218877,,,
"logistic","outer_fold",5,9,60,,,,0.0885233375146087,1.30168361855664,0.8587319243604,0.156100131719702,0.46829189214581
"continuous","outer_fold",1,10,60,0.459418621891421,4.23321656932473,3.35501275060459,-0.182111613190859,1.16975505632424,,,
