"model","term","x","component_residual_smooth"
"linear","idade",13,0.868540903247898
"linear","idade",13,0.868540903247898
"linear","idade",13,0.868540903247898
"linear","idade",13,0.868540903247898
"linear","idade",13,0.868540903247898
"linear","idade",13,0.868540903247898
"linear","idade",13,0.868540903247898
"linear","idade",13,0.868540903247898
"linear","idade",13,0.868540903247898
"linear","idade",13,0.868540903247898
"linear","idade",13,0.868540903247898
"linear","idade",13,0.868540903247898
"linear","idade",13,0.868540903247898
"linear","idade",13,0.868540903247898
"linear","idade",13,0.868540903247898
"linear","idade",13,0.868540903247898
"linear","idade",13,0.868540903247898
"linear","idade",13,0.868540903247898
"linear","idade",13,0.868540903247898
"linear","idade",13,0.868540903247898
"linear","idade",13,0.868540903247898
"linear","idade",13,0.868540903247898
"linear","idade",13,0.868540903247898
"linear","idade",13,0.868540903247898
"linear","idade",13,0.868540903247898
"linear","idade",13,0.868540903247898
"linear","idade",13,0.868540903247898
"linear","idade",13,0.868540903247898
"linear","idade",13,0.868540903247898
"linear","idade",13,0.868540903247898
"linear","idade",13,0.868540903247898
"linear","idade",13,0.868540903247898
"linear","idade",13,0.868540903247898
"linear","idade",13,0.868540903247898
"linear","idade",13,0.868540903247898
"linear","idade",13,0.868540903247898
"linear","idade",13,0.868540903247898
"linear","idade",13,0.868540903247898
"linear","idade",13,0.868540903247898
"linear","idade",13,0.868540903247898
"linear","idade",13,0.868540903247898
"linear","idade",13,0.868540903247898
"linear","idade",13,0.868540903247898
"linear","idade",13,0.868540903247898
"linear","idade",13,0.868540903247898
"linear","idade",13,0.868540903247898
"linear","idade",13,0.868540903247898
"linear","idade",13,0.868540903247898
"linear","idade",13,0.868540903247898
"linear","idade",13,0.868540903247898
"linear","idade",13,0.868540903247898
"linear","idade",13,0.868540903247898
"linear","idade",13,0.868540903247898
"linear","idade",13,0.868540903247898
"linear","idade",13,0.868540903247898
"linear","idade",13,0.868540903247898
"linear","idade",13,0.868540903247898
"linear","idade",13,0.868540903247898
"linear","idade",13,0.868540903247898
"linear","idade",13,0.868540903247898
"linear","idade",13,0.868540903247898
"linear","idade",13,0.868540903247898
"linear","idade",13,0.868540903247898
"linear","idade",13,0.868540903247898
"linear","idade",13,0.868540903247898
"linear","idade",13,0.868540903247898
"linear","idade",13,0.868540903247898
"linear","idade",13,0.868540903247898
"linear","idade",13,0.868540903247898
"linear","idade",13,0.868540903247898
"linear","idade",13,0.868540903247898
"linear","idade",13,0.868540903247898
"linear","idade",13,0.868540903247898
"linear","idade",13,0.868540903247898
"linear","idade",13,0.868540903247898
"linear","idade",13,0.868540903247898
"linear","idade",13,0.868540903247898
"linear","idade",13,0.868540903247898
"linear","idade",13,0.868540903247898
"linear","idade",13,0.868540903247898
"linear","idade",13,0.868540903247898
"linear","idade",13,0.868540903247898
"linear","idade",13,0.868540903247898
"linear","idade",13,0.868540903247898
"linear","idade",13,0.868540903247898
"linear","idade",13,0.868540903247898
"linear","idade",13,0.868540903247898
"linear","idade",13,0.868540903247898
"linear","idade",13,0.868540903247898
"linear","idade",13,0.868540903247898
"linear","idade",13,0.868540903247898
"linear","idade",13,0.868540903247898
"linear","idade",13,0.868540903247898
"linear","idade",13,0.868540903247898
"linear","idade",13,0.868540903247898
"linear","idade",13,0.868540903247898
"linear","idade",14,0.972995453432488
"linear","idade",14,0.972995453432488
"linear","idade",14,0.972995453432488
"linear","idade",14,0.972995453432488
"linear","idade",14,0.972995453432488
"linear","idade",14,0.972995453432488
"linear","idade",14,0.972995453432488
"linear","idade",14,0.972995453432488
"linear","idade",14,0.972995453432488
"linear","idade",14,0.972995453432488
"linear","idade",14,0.972995453432488
"linear","idade",14,0.972995453432488
"linear","idade",14,0.972995453432488
"linear","idade",14,0.972995453432488
"linear","idade",14,0.972995453432488
"linear","idade",14,0.972995453432488
"linear","idade",14,0.972995453432488
"linear","idade",14,0.972995453432488
"linear","idade",14,0.972995453432488
"linear","idade",14,0.972995453432488
"linear","idade",14,0.972995453432488
"linear","idade",14,0.972995453432488
"linear","idade",14,0.972995453432488
"linear","idade",14,0.972995453432488
"linear","idade",14,0.972995453432488
"linear","idade",14,0.972995453432488
"linear","idade",14,0.972995453432488
"linear","idade",14,0.972995453432488
