"family","repeat_id","outer_fold","config_id","alpha","lambda_fraction","lambda","lambda_max","best_mean_metric","best_se_metric","one_se_threshold","selected_mean_metric","selected_se_metric","converged","objective","kkt_max","failure_reason","n_features"
"continuous",3,9,11,0,0.01,0.555474606949749,55.5474606949749,4.19912294142248,0.072370733568831,4.27149367499131,4.23181290495886,0.055043232528776,TRUE,8.9815379744155,0.00000000598476846335946,,48
"logistic",3,9,11,0,0.01,0.0523127132369774,5.23127132369774,0.480494500708539,0.0097128982166933,0.490207398925233,0.480494500708539,0.0097128982166933,TRUE,0.467494549827449,0.00000000000501485658555012,,48
"continuous",3,10,11,0,0.01,0.560657541876135,56.0657541876134,4.23936663684918,0.0759399872369244,4.31530662408611,4.23936663684918,0.0759399872369244,TRUE,9.04363654431423,0.00000000564683095768959,,48
"logistic",3,10,11,0,0.01,0.0535013558998317,5.35013558998316,0.48580859150967,0.0141508533301635,0.499959444839833,0.48580859150967,0.0141508533301635,TRUE,0.464027364830173,0.00000000000631594082589615,,48
"continuous",4,1,11,0,0.01,0.564373672863813,56.4373672863813,4.15736202417897,0.115161962732814,4.27252398691178,4.22327563105703,0.075240807488232,TRUE,9.28085572590265,0.00000000708533154716862,,48
"logistic",4,1,11,0,0.01,0.0512693997848494,5.12693997848494,0.472831484391969,0.0320285586971178,0.504860043089087,0.473732898755591,0.0274830625205748,TRUE,0.465271518518218,0.000000000126566901056946,,48
"continuous",4,2,11,0,0.01,0.567530148267991,56.7530148267991,4.04721411480674,0.0938538191791018,4.14106793398584,4.11727248656145,0.112698837168668,TRUE,8.75390803485528,0.00000000725627668715645,,48
"logistic",4,2,11,0,0.01,0.0520275481060403,5.20275481060403,0.480006460277114,0.00928192666214288,0.489288386939256,0.483531281726673,0.00759348863589449,TRUE,0.474349346721027,0.000000000113141978425046,,48
"continuous",4,3,11,0,0.01,0.561179485854657,56.1179485854656,4.30202988752126,0.190862144905479,4.49289203242674,4.30202988752126,0.190862144905479,TRUE,9.2919573835344,0.00000000672908292715518,,48
"logistic",4,3,11,0,0.01,0.0509881485037735,5.09881485037735,0.496743541789217,0.0284162907400272,0.525159832529245,0.496743541789217,0.0284162907400272,TRUE,0.467471606592861,0.000000000133090065010388,,48
"continuous",4,4,11,0,0.01,0.538126591054594,53.8126591054593,4.11747443368634,0.189341660150356,4.3068160938367,4.16390025109703,0.194714106910456,TRUE,8.95834380044,0.00000000730752386379763,,48
"logistic",4,4,11,0,0.01,0.0522473995967383,5.22473995967382,0.491268296000721,0.0137950626981086,0.505063358698829,0.496189387324243,0.0151799988192253,TRUE,0.469667233616395,0.000000000057518550686253,,48
"continuous",4,5,11,0,0.01,0.560660805241199,56.0660805241198,4.2090713974194,0.0907251607283304,4.29979655814773,4.23920401025608,0.11300462468748,TRUE,9.08413958688834,0.00000000581819024902952,,48
"logistic",4,5,11,0,0.01,0.0510684157367142,5.10684157367141,0.498069534194689,0.0122179112104604,0.510287445405149,0.498069534194689,0.0122179112104604,TRUE,0.47741916149179,0.00000000010394389168833,,48
"continuous",4,6,11,0,0.01,0.556983725703894,55.6983725703893,4.16133969708892,0.140620156753099,4.30195985384201,4.19220345527881,0.139831796632847,TRUE,9.10416849240351,0.00000000699420064920186,,48
"logistic",4,6,11,0,0.01,0.0525330054006337,5.25330054006337,0.472166289112075,0.0158699028760582,0.488036191988133,0.473386839910515,0.0123519489577276,TRUE,0.468630722901006,0.000000000104727773328483,,48
"continuous",4,7,11,0,0.01,0.571283727276241,57.128372727624,4.20310596536694,0.233891564841628,4.43699753020857,4.22951328776082,0.249109766387754,TRUE,9.28556822748299,0.00000000642987971893882,,48
"logistic",4,7,11,0,0.01,0.0523070901859776,5.23070901859776,0.482218840266762,0.026525073683469,0.508743913950231,0.482241486189282,0.0206352095872245,TRUE,0.472630511748252,0.00000000000445941547577711,,48
"continuous",4,8,11,0,0.01,0.551472520970115,55.1472520970115,4.14698717111906,0.0961498465104253,4.24313701762948,4.18613545535285,0.05637876975532,TRUE,8.86589455401865,0.0000000063390143725502,,48
"logistic",4,8,11,0,0.01,0.0524772505393528,5.24772505393528,0.468989518380908,0.0253344988268774,0.494324017207786,0.469326461609362,0.0160855656936064,TRUE,0.462735394971538,0.000000000132754932047341,,48
"continuous",4,9,11,0,0.01,0.576224413513175,57.6224413513175,4.0781734508134,0.172702134253818,4.25087558506722,4.10913098255579,0.140442307116465,TRUE,8.67113146530138,0.0000000063652697904204,,48
"logistic",4,9,11,0,0.01,0.0529844890648158,5.29844890648157,0.481546639393247,0.0155206615047387,0.497067300897986,0.481546639393247,0.0155206615047387,TRUE,0.467324849596521,0.000000000125515589241565,,48
"continuous",4,10,11,0,0.01,0.571900468877007,57.1900468877007,4.08948850266487,0.140109569129725,4.2295980717946,4.14803354767522,0.12394227630705,TRUE,9.05373914351393,0.00000000803723533126383,,48
"logistic",4,10,11,0,0.01,0.0537863507851458,5.37863507851458,0.454204295382384,0.0267898449332753,0.480994140315659,0.459575448517166,0.0215575157864186,TRUE,0.452623662597786,0.0000000000061660503092309,,48
