"scenario","model","term","primary_estimate","sensitivity_estimate","difference","absolute_difference","absolute_relative_change","sign_changed"
"influential_logistic","linear","lenke4",4.18611908574738,5.72772109298662,1.54160200723924,1.54160200723924,0.368265205948865,FALSE
"influential_logistic","linear","lenke5",1.13048428564448,0.977909961739591,-0.152574323904884,0.152574323904884,0.13496368400902,FALSE
"influential_logistic","linear","lenke6",2.31443434759802,2.92133896932925,0.606904621731224,0.606904621731224,0.262225896518121,FALSE
"influential_logistic","linear","risser1",-2.56891366122573,-3.12640014276885,-0.557486481543123,0.557486481543123,0.217012541121029,FALSE
"influential_logistic","linear","risser2",-1.99342886344444,-2.05432469861636,-0.0608958351719222,0.0608958351719222,0.0305482860655988,FALSE
"influential_logistic","linear","risser3",-1.26711049716004,-1.31063559907152,-0.0435251019114853,0.0435251019114853,0.0343498866192314,FALSE
"influential_logistic","linear","risser4",-0.913373954489576,-1.49372743434829,-0.580353479858715,0.580353479858715,0.635395258432824,FALSE
"influential_logistic","linear","flexibilidaderigido",0.827868480037586,1.23053641216657,0.40266793212898,0.40266793212898,0.486391186327928,FALSE
"influential_logistic","linear","escoliometro_maior_10_graustoracica",-0.0525009055703781,-0.64525473326994,-0.592753827699562,0.592753827699562,11.2903543521734,FALSE
"influential_logistic","linear","escoliometro_maior_10_grauslombar",-0.381654502303094,-0.201256203926473,0.180398298376622,0.180398298376622,0.472674361989726,FALSE
"influential_logistic","linear","escoliometro_maior_10_graustoracica_lombar",2.69904565124078,1.76576701676349,-0.933278634477292,0.933278634477292,0.345780974118853,FALSE
"influential_logistic","logistic","(Intercept)",-3.23003250529996,-1.43120700386731,1.79882550143264,1.79882550143264,0.556906315487867,FALSE
"influential_logistic","logistic","idade",-0.0816966921855274,-0.219190025353765,-0.137493333168238,0.137493333168238,1.68297307381797,FALSE
"influential_logistic","logistic","imc",0.0558978852735618,0.0336337498844876,-0.0222641353890742,0.0222641353890742,0.398300137475943,FALSE
"influential_logistic","logistic","cifose_toracica",0.0207899780986713,0.061004283386592,0.0402143052879207,0.0402143052879207,1.93431205636964,FALSE
"influential_logistic","logistic","lordose_lombar",-0.00984075907997545,-0.0758983996903045,-0.066057640610329,0.066057640610329,6.71265702914595,FALSE
"influential_logistic","logistic","correcao_colete",0.0956014397061875,0.23297168095221,0.137370241246023,0.137370241246023,1.43690557033664,FALSE
"influential_logistic","logistic","sexomasculino",1.09622819163554,2.28126774610454,1.18503955446899,1.18503955446899,1.08101539762533,FALSE
"influential_logistic","logistic","lenke2",-0.902623677854922,-5.67947024982991,-4.77684657197499,4.77684657197499,5.29217955297508,FALSE
"influential_logistic","logistic","lenke3",-1.80828073701834,-6.38066166612771,-4.57238092910937,4.57238092910937,2.52857912795594,FALSE
"influential_logistic","logistic","lenke4",-2.0469481218535,-6.73193031940819,-4.68498219755469,4.68498219755469,2.28876450142394,FALSE
"influential_logistic","logistic","lenke5",-0.986303986811524,-3.11165916604582,-2.12535517923429,2.12535517923429,2.15486828366682,FALSE
"influential_logistic","logistic","lenke6",-1.59458414211578,-5.1808923548862,-3.58630821277042,3.58630821277042,2.24905548603532,FALSE
"influential_logistic","logistic","risser1",1.83345246640352,4.92308217229984,3.08962970589632,3.08962970589632,1.68514306343425,FALSE
"influential_logistic","logistic","risser2",0.902247707835656,2.1328589671424,1.23061125930675,1.23061125930675,1.36393946875053,FALSE
"influential_logistic","logistic","risser3",0.187033479963831,0.746941489794347,0.559908009830516,0.559908009830516,2.99362451010799,FALSE
"influential_logistic","logistic","risser4",0.693525909402579,2.3077928892325,1.61426697982992,1.61426697982992,2.32762317592502,FALSE
"influential_logistic","logistic","flexibilidaderigido",-0.436800700285599,-1.69621023437221,-1.25940953408662,1.25940953408662,2.88325896287062,FALSE
"influential_logistic","logistic","escoliometro_maior_10_graustoracica",-0.00270657026616162,-0.209243707417541,-0.206537137151379,0.206537137151379,76.3095419075464,FALSE
"influential_logistic","logistic","escoliometro_maior_10_grauslombar",0.0183122863215969,-0.179297406549169,-0.197609692870766,0.197609692870766,10.7910989048763,TRUE
"influential_logistic","logistic","escoliometro_maior_10_graustoracica_lombar",-1.17273253385019,-3.48362267199671,-2.31089013814652,2.31089013814652,1.97051763419546,FALSE
"influential_union","linear","(Intercept)",0.154000887786247,-0.988564866093124,-1.14256575387937,1.14256575387937,7.41921537144156,TRUE
"influential_union","linear","idade",0.065197340596463,0.00376965357417422,-0.0614276870222888,0.0614276870222888,0.942180869040252,FALSE
"influential_union","linear","imc",0.00609014530726535,0.0408907393210346,0.0348005940137692,0.0348005940137692,5.71424691168751,FALSE
"influential_union","linear","cifose_toracica",-0.0351216354125182,-0.0605113200543256,-0.0253896846418074,0.0253896846418074,0.722907243458199,FALSE
"influential_union","linear","lordose_lombar",-0.0115428342899372,0.0279724953638844,0.0395153296538215,0.0395153296538215,3.42336454472627,TRUE
