"order","theoretical_quantile","standardized_residual_quantile"
73,-1.18562010788351,-1.17701533607598
74,-1.17742882545769,-1.1710173351402
75,-1.16931579231436,-1.17101733514018
76,-1.16127900356626,-1.15063027124059
77,-1.15331652994181,-1.15063027124059
78,-1.14542651396847,-1.14234302905746
79,-1.13760716639541,-1.14234302905746
80,-1.12985676283752,-1.14068296459218
81,-1.12217364062451,-1.14068296459218
82,-1.11455619584011,-1.11865363189793
83,-1.10700288053791,-1.10881399233107
84,-1.09951220012096,-1.10881399233107
85,-1.09208271087401,-1.08953305979202
86,-1.08471301763749,-1.08953305979202
87,-1.07740177161378,-1.06951737185445
88,-1.07014766829662,-1.06951737185445
89,-1.06294944551553,-1.05858535505731
90,-1.05580588158753,-1.05526937705386
91,-1.04871579356929,-1.05526937705386
92,-1.04167803560302,-1.04088857028807
93,-1.03469149735023,-1.03111175357456
94,-1.02775510250775,-1.03111175357456
95,-1.02086780740087,-1.02744555314132
96,-1.01402859964879,-1.02744555314132
97,-1.00723649689799,-1.02185168500329
98,-1.00049054561931,-1.02155384069251
99,-0.993789819965064,-0.985182018716198
100,-0.987133420682404,-0.985182018716196
101,-0.980520474079859,-0.981559636970524
102,-0.973950131043749,-0.979866228569713
103,-0.967421566101701,-0.963128159993527
104,-0.960933976530554,-0.963128159993527
105,-0.954486581506126,-0.958179612240138
106,-0.948078621292505,-0.958179612240138
107,-0.941709356468668,-0.936937260863036
108,-0.935378067190379,-0.936937260863036
109,-0.929084052485426,-0.933606904338025
110,-0.922826629580416,-0.933606904338025
111,-0.916605133257428,-0.924553059676518
112,-0.910418915238944,-0.924553059676518
113,-0.904267343599568,-0.898595727882607
114,-0.898149802203142,-0.898595727882607
115,-0.892065690163944,-0.882372346865887
116,-0.886014421330738,-0.875398495904157
117,-0.879995423792515,-0.867480067698447
118,-0.874008139404836,-0.866434301722485
119,-0.86805202333574,-0.866434301722485
120,-0.862126543630265,-0.862584854218062
121,-0.856231180792658,-0.862584854218062
122,-0.850365427385411,-0.853104855015253
123,-0.844528787644322,-0.853104855015253
124,-0.838720777108807,-0.839956466516323
125,-0.832940922266738,-0.811167908757176
126,-0.827188760213129,-0.811167908757176
127,-0.821463838322018,-0.800160787763485
128,-0.815765713930935,-0.794966757663496
129,-0.810093954037373,-0.783757051904362
130,-0.804448135006733,-0.783757051904362
131,-0.798827842291189,-0.767836035840012
132,-0.793232670159018,-0.767836035840012
133,-0.787662221433909,-0.764792793013986
134,-0.78211610724381,-0.759961116957
135,-0.776593946778901,-0.756809357350557
136,-0.77109536705829,-0.744737449491509
137,-0.765620002705057,-0.744737449491509
138,-0.760167495729286,-0.739544706703621
139,-0.754737495318746,-0.739544706703621
140,-0.749329657636892,-0.713638956915088
141,-0.743943645627887,-0.695905492563211
142,-0.738579128828344,-0.685854892210706
143,-0.733235783185512,-0.685854892210706
144,-0.727913290881644,-0.684367555620982
145,-0.72261134016429,-0.676995653030566
146,-0.717329625182271,-0.658717427689967
147,-0.712067845827121,-0.656940549151448
148,-0.706825707579754,-0.656940549151448
149,-0.70160292136217,-0.622353725768709
150,-0.69639920339399,-0.622353725768709
151,-0.691214275053625,-0.620319393681982
152,-0.68604786274392,-0.620319393681982
153,-0.680899697762067,-0.618791270083972
154,-0.675769516173661,-0.618791270083972
155,-0.670657058690698,-0.617989512030467
156,-0.66556207055341,-0.602040119668157
157,-0.660484301415751,-0.602040119668157
158,-0.655423505234427,-0.588758711582886
159,-0.650379440161323,-0.588758711582886
160,-0.645351868439204,-0.583863693661757
161,-0.640340556300571,-0.574518458146992
162,-0.635345273869554,-0.574518458146992
163,-0.630365795066735,-0.571891285799728
164,-0.625401897516792,-0.563716900410916
165,-0.620453362458866,-0.561175074490535
166,-0.615519974659544,-0.561175074490535
167,-0.610601522328383,-0.560592375185162
168,-0.605697797035866,-0.560592375185162
169,-0.600808593633718,-0.551962904733768
170,-0.59593371017749,-0.551962904733768
171,-0.591072947851347,-0.54275825397456
172,-0.58622611089496,-0.542190525410056
173,-0.581393006532456,-0.542190525410056
174,-0.576573444903336,-0.537301345248862
175,-0.571767238995307,-0.537301345248862
176,-0.566974204578953,-0.528515770648012
177,-0.562194160144193,-0.528515770648012
178,-0.55742692683846,-0.524577831781756
179,-0.552672328406541,-0.523747648107681
180,-0.547930191132039,-0.519789086135459
181,-0.543200343780379,-0.519789086135459
182,-0.53848261754333,-0.503898407156467
183,-0.533776845984983,-0.503898407156467
184,-0.529082864989134,-0.499336771980986
185,-0.524400512708041,-0.493775081217442
186,-0.519729629512493,-0.483441563340052
187,-0.515070057943168,-0.48033224191469
188,-0.510421642663219,-0.473477090725281
189,-0.50578423041207,-0.461477337079331
190,-0.501157669960365,-0.461477337079331
191,-0.49654181206605,-0.452007829095793
192,-0.491936509431538,-0.448905092934874
193,-0.487341616661937,-0.444537272431494
194,-0.482756990224301,-0.43581578131456
195,-0.478182488407868,-0.43300979531545
196,-0.473617971285272,-0.421832897174207
197,-0.469063300674674,-0.421832897174207
198,-0.464518340102811,-0.414649204382782
199,-0.459982954768911,-0.414649204382782
200,-0.45545701150947,-0.410339486907269
201,-0.450940378763847,-0.410339486907269
202,-0.446432926540663,-0.402557747125702
203,-0.441934526384978,-0.400469888221377
204,-0.437445051346224,-0.399877574429725
205,-0.432964375946864,-0.399877574429725
206,-0.428492376151768,-0.387234272397918
207,-0.42402892933828,-0.387196697841172
208,-0.41957391426695,-0.387196697841172
209,-0.415127211052917,-0.384556309881429
210,-0.410688701137931,-0.378742325038111
211,-0.40625826726298,-0.378742325038111
212,-0.401835793441518,-0.356866651006453
