"stratum_variable","stratum","n","n_events","n_nonevents","small_stratum","descriptive_eligible","mean_delta_observed","mean_delta_predicted","delta_rmse","delta_mae","delta_mean_error","delta_calibration_intercept","delta_calibration_slope","delta_calibration_status","probability_observed","probability_predicted","probability_auc","probability_brier","probability_log_loss","probability_calibration_intercept","probability_calibration_slope","probability_calibration_status","mean_delta_ci_lower_approx","mean_delta_ci_upper_approx","improvement_prevalence_wilson_lower","improvement_prevalence_wilson_upper","uncertainty_note"
"lenke","6",285,155,130,FALSE,TRUE,-5.20350877192982,-5.20350877192982,4.00816567225748,3.04691012322306,-0.000000000000000279698291817846,-0.655472095000354,0.874032672235266,"ok",0.543859649122807,0.54385964904066,0.850272952853598,0.154198319295798,0.480752511023805,-0.000000000481820594730729,1.0063201472509,"ok",-5.66884977883801,-4.73816776502164,0.485833829108057,0.600718842735078,"Descriptive 95% intervals; no subgroup interaction test and no multiplicity claim."
"lenke","2",41,29,12,FALSE,TRUE,-7.92682926829268,-7.92682926829268,5.0200954001356,4.46265778910299,-0.00000000000000038993198913664,3.68898568326642,1.46537973235053,"ok",0.707317073170732,0.707317072548478,0.883620689655172,0.128976180047019,0.38537368251285,0.00000000466712183803079,1.11131345666209,"ok",-9.46345511192394,-6.39020342466143,0.555205322770028,0.823908123738866,"Descriptive 95% intervals; no subgroup interaction test and no multiplicity claim."
"lenke","1",37,27,10,FALSE,TRUE,-6.67567567567568,-6.67567567567568,4.25289937042607,3.53467936379817,0.00000000000000100820253047041,3.08063444291472,1.46147155622609,"ok",0.72972972972973,0.72972972956304,0.792592592592593,0.170496549905084,0.490742784590585,0.00000000113188056748496,0.747429758225784,"ok",-8.04602829989681,-5.30532305145454,0.570218316752857,0.846025384889509,"Descriptive 95% intervals; no subgroup interaction test and no multiplicity claim."
"lenke","5",55,36,19,FALSE,TRUE,-6.70909090909091,-6.70909090909091,4.80854183023963,4.05351066840244,-0.000000000000000549055750360077,0.839081419752622,1.12506633627749,"ok",0.654545454545455,0.654545454217765,0.7953216374269,0.171167203717979,0.485418022038111,0.00000000201119930371917,0.997914306606534,"ok",-7.97989950756935,-5.43828231061247,0.522539035075616,0.766372904579103,"Descriptive 95% intervals; no subgroup interaction test and no multiplicity claim."
"lenke","3",137,49,88,FALSE,TRUE,-2.27737226277372,-2.27737226277372,3.76250697774857,2.9992703132169,-0.00000000000000043436462861247,-0.394485798021465,0.826780274586729,"ok",0.357664233576642,0.357664233650099,0.815630797773655,0.152220654137434,0.471573868741269,0.00000000060626657806612,0.817747340211249,"ok",-2.90740790864398,-1.64733661690346,0.282292064053841,0.44080083539098,"Descriptive 95% intervals; no subgroup interaction test and no multiplicity claim."
"lenke","4",60,21,39,FALSE,TRUE,-2.11666666666667,-2.11666666666667,4.10388858492445,3.38499361343664,0.00000000000000132579132857321,0.739875167633241,1.34954732329129,"ok",0.35,0.349999999893698,0.956043956043956,0.0839149227503938,0.290589056435109,0.000000000846502765502076,1.84401761515487,"ok",-3.15507467207333,-1.07825866126,0.241677744060176,0.476373811582451,"Descriptive 95% intervals; no subgroup interaction test and no multiplicity claim."
"risser","2",122,75,47,FALSE,TRUE,-5.81967213114754,-5.81967213114754,4.56464050608873,3.50554111654819,-0.00000000000000136502830896536,0.704338476581402,1.1210271748492,"ok",0.614754098360656,0.614754098040762,0.918156028368794,0.11525469407426,0.370088210913691,0.00000000213954223997673,1.51774347988229,"ok",-6.6296529892096,-5.00969127308548,0.526152142701198,0.696350045865259,"Descriptive 95% intervals; no subgroup interaction test and no multiplicity claim."
"risser","1",92,65,27,FALSE,TRUE,-6.34782608695652,-6.34782608695652,4.50028560440292,3.62662640267698,-0.000000000000000212390491667421,-0.311899077617345,0.950865213800007,"ok",0.706521739130435,0.706521738639748,0.815954415954416,0.145554521890622,0.458747127563651,0.00000000352260375014361,0.800205724401093,"ok",-7.26741611653716,-5.42823605737588,0.606705288927472,0.789782832889336,"Descriptive 95% intervals; no subgroup interaction test and no multiplicity claim."
"risser","3",127,58,69,FALSE,TRUE,-4.88976377952756,-4.88976377952756,3.33580360921982,2.6534708713451,0.000000000000000562979234534331,-0.170591784193449,0.965112469255123,"ok",0.456692913385827,0.456692913353585,0.920414792603698,0.116936172189056,0.37066061694962,0.00000000147612717131991,1.75152258400317,"ok",-5.46992233994987,-4.30960521910525,0.372603607647035,0.543325180528015,"Descriptive 95% intervals; no subgroup interaction test and no multiplicity claim."
"risser","4",142,69,73,FALSE,TRUE,-3.92253521126761,-3.9225352112676,3.67769221037847,2.96281796237851,-0.000000000000000519146541092327,-0.830896400933776,0.78817362848726,"ok",0.485915492957746,0.485915493090293,0.804248560651181,0.181596177003445,0.537519619866565,-0.000000000814590770935183,0.855572816132423,"ok",-4.5274292419161,-3.31764118061911,0.405169873647722,0.56740308309349,"Descriptive 95% intervals; no subgroup interaction test and no multiplicity claim."
"risser","0",132,50,82,FALSE,TRUE,-2.96212121212121,-2.96212121212121,4.57574762623968,3.78808811233059,0.00000000000000100172395630952,0.383440687457524,1.12944800701891,"ok",0.378787878787879,0.378787878787985,0.784512195121951,0.172398471367901,0.522379109313933,0.000000000836973108473936,0.658486092063275,"ok",-3.74271158092668,-2.18153084331575,0.300569994108981,0.463861275417955,"Descriptive 95% intervals; no subgroup interaction test and no multiplicity claim."
"flexibilidade","flexivel",390,226,164,FALSE,TRUE,-5.43589743589744,-5.43589743589744,4.1204056540795,3.27630401570639,-0.00000000000000040451972256214,0.0469031816242438,1.00862841548748,"ok",0.57948717948718,0.579487179261711,0.862440643211742,0.149003877778222,0.455204894910341,0.00000000149007282434077,1.01284929946012,"ok",-5.84483382885274,-5.02696104294214,0.529952984610683,0.627470767032049,"Descriptive 95% intervals; no subgroup interaction test and no multiplicity claim."
"flexibilidade","rigido",225,91,134,FALSE,TRUE,-3.30222222222222,-3.30222222222222,4.15342452333922,3.29469182793726,0.000000000000000192438657601694,-0.0654226909801336,0.980188283350566,"ok",0.404444444444444,0.404444444526682,0.85082827620141,0.145487669246901,0.454139178912828,-0.000000000565202087523228,0.980926730125166,"ok",-3.84492638743891,-2.75951805700553,0.342440827983946,0.46965615731935,"Descriptive 95% intervals; no subgroup interaction test and no multiplicity claim."
"escoliometro_maior_10_graus","lombar",201,113,88,FALSE,TRUE,-5.77114427860696,-5.77114427860697,4.37616285240008,3.3077502869792,0.000000000000000219835205871051,-0.999379877217109,0.826831590240828,"ok",0.562189054726368,0.562189054565677,0.860619469026549,0.150584304199102,0.462867585339544,0.00000000000290251383233821,1.1428981592366,"ok",-6.37612778900455,-5.16616076820938,0.493073088153971,0.628972517964679,"Descriptive 95% intervals; no subgroup interaction test and no multiplicity claim."
"escoliometro_maior_10_graus","toracica",222,111,111,FALSE,TRUE,-4.33333333333333,-4.33333333333333,4.23477697178164,3.52170665104287,-0.000000000000000143528832462802,0.119750432204574,1.02763471512413,"ok",0.5,0.499999999843812,0.856342829315802,0.152546819525711,0.461389138321695,0.00000000115288187624455,0.864125840315102,"ok",-4.89039355362303,-3.77627311304364,0.434789690699899,0.565210309300101,"Descriptive 95% intervals; no subgroup interaction test and no multiplicity claim."
"escoliometro_maior_10_graus","normal",146,79,67,FALSE,TRUE,-4.72602739726027,-4.72602739726027,3.72902634183658,3.01311711895257,-0.00000000000000100984669637138,0.286963815341752,1.06071987976796,"ok",0.541095890410959,0.541095890289428,0.877668618930663,0.143776527023915,0.454186787918664,0.000000000659021669225778,1.04321952010829,"ok",-5.33090445751254,-4.12115033700801,0.460248724827229,0.619835919932936,"Descriptive 95% intervals; no subgroup interaction test and no multiplicity claim."
"escoliometro_maior_10_graus","toracica_lombar",46,14,32,FALSE,TRUE,-1.10869565217391,-1.10869565217391,3.73597489056742,2.879835735434,0.000000000000000559938568941383,0.338575337692378,1.3053816771343,"ok",0.304347826086957,0.304347826419281,0.883928571428571,0.124391867170436,0.389895214644127,-0.00000000234548789570319,1.25094106832087,"ok",-2.18832112761915,-0.0290701767286747,0.190798408027672,0.448056464484076,"Descriptive 95% intervals; no subgroup interaction test and no multiplicity claim."
