"family","scope","repeat_id","outer_fold","config_id","alpha","lambda_fraction","mean_metric","sd_metric","se_metric","n_valid","n_converged","one_se_threshold","eligible_one_se","selected_one_se"
"logistic","outer",5,2,9,0.75,0.1,0.554279494359266,0.023728616918664,0.0106117600884368,5,5,0.475794551325259,FALSE,FALSE
"logistic","outer",5,2,10,1,0.1,0.567873866898715,0.0204505861489537,0.00914578016175523,5,5,0.475794551325259,FALSE,FALSE
"logistic","outer",5,2,11,0,0.01,0.46657599154511,0.037927274141605,0.0169615926363798,5,5,0.475794551325259,TRUE,FALSE
"logistic","outer",5,2,12,0.25,0.01,0.461917319556965,0.0370387057441336,0.0165642127684989,5,5,0.475794551325259,TRUE,FALSE
"logistic","outer",5,2,13,0.5,0.01,0.460187173037453,0.0355125482721497,0.0158816943981539,5,5,0.475794551325259,TRUE,FALSE
"logistic","outer",5,2,14,0.75,0.01,0.459968274764684,0.0353886302201575,0.0158262765605751,5,5,0.475794551325259,TRUE,FALSE
"logistic","outer",5,2,15,1,0.01,0.461866338891459,0.0359372052828241,0.0160716067867519,5,5,0.475794551325259,TRUE,FALSE
"logistic","outer",5,2,16,0,0.001,0.480826075584169,0.0439127095968361,0.0196383607469466,5,0,0.475794551325259,FALSE,FALSE
"logistic","outer",5,2,17,0.25,0.001,0.479595546829941,0.0433421407173719,0.019383194586881,5,0,0.475794551325259,FALSE,FALSE
"logistic","outer",5,2,18,0.5,0.001,0.478329519193219,0.0426948079462181,0.0190936985708084,5,0,0.475794551325259,FALSE,FALSE
"logistic","outer",5,2,19,0.75,0.001,0.477110573285786,0.041978881253837,0.0187735264205942,5,0,0.475794551325259,FALSE,FALSE
"logistic","outer",5,2,20,1,0.001,0.47638137870873,0.0415585604797811,0.0185855532559654,5,0,0.475794551325259,FALSE,FALSE
"continuous","outer",5,3,1,0,1,5.21798527998767,0.569549592808045,0.254710321215223,5,5,4.29402648951101,FALSE,FALSE
"continuous","outer",5,3,2,0.25,1,5.33756389744616,0.573534512370392,0.256492431420478,5,5,4.29402648951101,FALSE,FALSE
"continuous","outer",5,3,3,0.5,1,5.33756389744616,0.573534512370392,0.256492431420478,5,5,4.29402648951101,FALSE,FALSE
"continuous","outer",5,3,4,0.75,1,5.33756389744616,0.573534512370392,0.256492431420478,5,5,4.29402648951101,FALSE,FALSE
"continuous","outer",5,3,5,1,1,5.33756389744616,0.573534512370392,0.256492431420478,5,5,4.29402648951101,FALSE,FALSE
"continuous","outer",5,3,6,0,0.1,4.67028557489653,0.550311795894273,0.246106916887917,5,5,4.29402648951101,FALSE,FALSE
"continuous","outer",5,3,7,0.25,0.1,5.11797778750421,0.569071557988812,0.254496537544939,5,5,4.29402648951101,FALSE,FALSE
"continuous","outer",5,3,8,0.5,0.1,5.33756389744616,0.573534512370392,0.256492431420478,5,5,4.29402648951101,FALSE,FALSE
"continuous","outer",5,3,9,0.75,0.1,5.33756389744616,0.573534512370392,0.256492431420478,5,5,4.29402648951101,FALSE,FALSE
"continuous","outer",5,3,10,1,0.1,5.33756389744616,0.573534512370392,0.256492431420478,5,5,4.29402648951101,FALSE,FALSE
"continuous","outer",5,3,11,0,0.01,4.16475577715202,0.435332293868652,0.194686520378244,5,5,4.29402648951101,TRUE,TRUE
"continuous","outer",5,3,12,0.25,0.01,4.20715033038823,0.473531484227164,0.211769717643662,5,5,4.29402648951101,TRUE,FALSE
"continuous","outer",5,3,13,0.5,0.01,4.26989485072616,0.517076734282252,0.231243745487742,5,5,4.29402648951101,TRUE,FALSE
"continuous","outer",5,3,14,0.75,0.01,4.34690828105205,0.556192864941572,0.248737010921943,5,5,4.29402648951101,FALSE,FALSE
"continuous","outer",5,3,15,1,0.01,4.40176907859221,0.563583637008341,0.252042264671443,5,5,4.29402648951101,FALSE,FALSE
"continuous","outer",5,3,16,0,0.001,4.1389886859232,0.368951454457954,0.16500010651308,5,5,4.29402648951101,TRUE,FALSE
"continuous","outer",5,3,17,0.25,0.001,4.1325253093786,0.370716362702802,0.165789397474987,5,5,4.29402648951101,TRUE,FALSE
"continuous","outer",5,3,18,0.5,0.001,4.12771759449128,0.371799222818704,0.166273667240842,5,5,4.29402648951101,TRUE,FALSE
"continuous","outer",5,3,19,0.75,0.001,4.12585164520568,0.371952824017541,0.166342359785248,5,1,4.29402648951101,TRUE,FALSE
"continuous","outer",5,3,20,1,0.001,4.12514582930961,0.377628636295378,0.168880660201402,5,5,4.29402648951101,TRUE,FALSE
"logistic","outer",5,3,1,0,1,0.578261310981022,0.0155643961453464,0.00696060956194604,5,5,0.480337956202606,FALSE,FALSE
"logistic","outer",5,3,2,0.25,1,0.692679840605181,0.000154558200041579,0.0000691205283545962,5,5,0.480337956202606,FALSE,FALSE
"logistic","outer",5,3,3,0.5,1,0.692679840605181,0.000154558200041579,0.0000691205283545962,5,5,0.480337956202606,FALSE,FALSE
"logistic","outer",5,3,4,0.75,1,0.692679840605181,0.000154558200041579,0.0000691205283545962,5,5,0.480337956202606,FALSE,FALSE
"logistic","outer",5,3,5,1,1,0.692679840605181,0.000154558200041579,0.0000691205283545962,5,5,0.480337956202606,FALSE,FALSE
"logistic","outer",5,3,6,0,0.1,0.479732166672958,0.023615604150586,0.0105612192420873,5,5,0.480337956202606,TRUE,TRUE
"logistic","outer",5,3,7,0.25,0.1,0.51096201223377,0.0306860228858434,0.013723206626372,5,5,0.480337956202606,FALSE,FALSE
"logistic","outer",5,3,8,0.5,0.1,0.541166264553611,0.031108737140883,0.0139122501882374,5,5,0.480337956202606,FALSE,FALSE
"logistic","outer",5,3,9,0.75,0.1,0.555135093747559,0.0259248066014716,0.0115939259728852,5,5,0.480337956202606,FALSE,FALSE
"logistic","outer",5,3,10,1,0.1,0.568839138597238,0.0226523418647475,0.0101304352518279,5,5,0.480337956202606,FALSE,FALSE
"logistic","outer",5,3,11,0,0.01,0.475754558127941,0.0288007633896084,0.0128800929486103,5,5,0.480337956202606,TRUE,FALSE
"logistic","outer",5,3,12,0.25,0.01,0.472919363680648,0.0287767912477143,0.012869372280842,5,5,0.480337956202606,TRUE,FALSE
