"repeat_id","outer_fold","config_id","cost_complexity","tree_depth","min_n","best_mean_auc","best_se_auc","one_se_threshold","selected_mean_auc","selected_se_auc","selected_mean_terminal_nodes"
3,5,35,0.01,4,20,0.826494783429573,0.019687859944532,0.806806923485041,0.81211274167249,0.0117620363987696,7.2
3,6,59,0.01,5,40,0.802074981303713,0.0119463199196205,0.790128661384093,0.792094842276901,0.0152157334068138,6.8
3,7,53,0.001,4,40,0.812696311008128,0.018366416510315,0.794329894497813,0.799293219071438,0.0181400294398306,6.6
3,8,34,0.005,4,20,0.793848752643797,0.0139859246315925,0.779862828012204,0.783182188283548,0.0113182481507274,7.4
3,9,10,0.005,3,10,0.808554222190093,0.00846478212853156,0.800089440061561,0.800958710482561,0.00826964752794773,6
3,10,55,0.01,4,40,0.797705820854698,0.0078290804085361,0.789876740446162,0.790050246402048,0.0116596263564828,4.8
4,1,58,0.005,5,40,0.820844213959077,0.0104803282188811,0.810363885740195,0.817852808120931,0.0110709635188984,8.2
4,2,37,0.001,5,20,0.828075692375593,0.00538651947247898,0.822689172903114,0.828075692375593,0.00538651947247898,13
4,3,49,0.001,3,40,0.821502568440668,0.0318685883898101,0.789633980050858,0.791582993122219,0.0297543675532739,4.8
4,4,38,0.005,5,20,0.800804246815501,0.00955612806312975,0.791248118752372,0.800804246815501,0.00955612806312975,11.2
4,5,50,0.005,3,40,0.797375776968627,0.0256380847903113,0.771737692178316,0.780400161830152,0.0192753492326216,4.2
4,6,50,0.005,3,40,0.81933931614501,0.0144734837042327,0.804865832440777,0.805409663221646,0.019489425157828,4.8
4,7,37,0.001,5,20,0.84788762612331,0.0134837589581722,0.834403867165137,0.838993710691824,0.00894039979121226,11.6
4,8,58,0.005,5,40,0.832117377167829,0.0147158065374751,0.817401570630354,0.820033329909028,0.0143121387675558,7
4,9,34,0.005,4,20,0.823754186847876,0.00928208759450307,0.814472099253373,0.814939157274134,0.0150972747795967,7.2
4,10,34,0.005,4,20,0.841562362737128,0.0207779433598091,0.820784419377319,0.82663200931073,0.0206627904961024,7
5,1,14,0.005,4,10,0.815570635183346,0.0190240335493709,0.796546601633975,0.80706535731362,0.0185148222746327,9.2
5,2,57,0.001,5,40,0.82367746760332,0.0130633809941895,0.81061408660913,0.811879191339635,0.0152978836030258,7.6
5,3,53,0.001,4,40,0.800256844066841,0.0167756160136139,0.783481228053227,0.794769943727243,0.0197061703958165,7
5,4,49,0.001,3,40,0.807194698836539,0.0316776413439007,0.775517057492639,0.780810254146898,0.0251625536834291,5.2
5,5,53,0.001,4,40,0.833956747213947,0.0133366697397067,0.82062007747424,0.822913678325794,0.0182883358075434,7
5,6,37,0.001,5,20,0.802069464366717,0.00423733750995694,0.79783212685676,0.802069464366717,0.00423733750995694,11.6
5,7,38,0.005,5,20,0.8229032574448,0.00521023739380691,0.817693020050993,0.818647860041438,0.00910871659702331,10.2
5,8,15,0.01,4,10,0.80796180673134,0.021861579448953,0.786100227282387,0.78943037308445,0.0254815917465151,7.6
5,9,14,0.005,4,10,0.811778554799249,0.0146240267024471,0.797154528096802,0.79932915314383,0.0156540253593104,8.4
5,10,38,0.005,5,20,0.819395616381371,0.0155011563457185,0.803894460035653,0.808598738164479,0.0153986584423649,9.6
