"config_id","cost_complexity","tree_depth","min_n","mean_auc","sd_auc","se_auc","n_valid","mean_terminal_nodes","simplicity_order","best_mean_threshold","eligible_one_se","selected_one_se"
30,0.005,3,20,0.787162348107793,0.030674586049206,0.0137180919175382,5,5.6,31,0.792704166214758,FALSE,FALSE
31,0.01,3,20,0.772860954174514,0.0401995918472463,0.0179778040076378,5,4.8,30,0.792704166214758,FALSE,FALSE
32,0.02,3,20,0.767228765917855,0.035453486810236,0.015855281309416,5,3.6,29,0.792704166214758,FALSE,FALSE
33,0.001,4,20,0.79001103460452,0.0311294895108324,0.0139215309302176,5,8,44,0.792704166214758,FALSE,FALSE
34,0.005,4,20,0.784280606840194,0.0310409008011555,0.0138819128548423,5,7.6,43,0.792704166214758,FALSE,FALSE
35,0.01,4,20,0.773770766074791,0.0421641545841369,0.0188563831727879,5,6.4,42,0.792704166214758,FALSE,FALSE
36,0.02,4,20,0.772135521758138,0.0425341938027196,0.0190218697422063,5,4.4,41,0.792704166214758,FALSE,FALSE
37,0.001,5,20,0.795236399762353,0.0243011467838702,0.0108678032279869,5,12.2,56,0.792704166214758,TRUE,FALSE
38,0.005,5,20,0.792616903753027,0.0290908966873326,0.0130098445038598,5,10,55,0.792704166214758,FALSE,FALSE
39,0.01,5,20,0.781318918987086,0.0404268985927854,0.0180794586745917,5,9,54,0.792704166214758,FALSE,FALSE
40,0.02,5,20,0.774222575329567,0.0428887614604153,0.0191804372192524,5,4.8,53,0.792704166214758,FALSE,FALSE
41,0.001,1,40,0.725336292709174,0.0272405672760299,0.0121823520349718,5,2,4,0.792704166214758,FALSE,FALSE
42,0.005,1,40,0.725336292709174,0.0272405672760299,0.0121823520349718,5,2,3,0.792704166214758,FALSE,FALSE
43,0.01,1,40,0.725336292709174,0.0272405672760299,0.0121823520349718,5,2,2,0.792704166214758,FALSE,FALSE
44,0.02,1,40,0.725336292709174,0.0272405672760299,0.0121823520349718,5,2,1,0.792704166214758,FALSE,FALSE
45,0.001,2,40,0.725336292709174,0.0272405672760299,0.0121823520349718,5,2,16,0.792704166214758,FALSE,FALSE
46,0.005,2,40,0.725336292709174,0.0272405672760299,0.0121823520349718,5,2,15,0.792704166214758,FALSE,FALSE
47,0.01,2,40,0.725336292709174,0.0272405672760299,0.0121823520349718,5,2,14,0.792704166214758,FALSE,FALSE
48,0.02,2,40,0.725336292709174,0.0272405672760299,0.0121823520349718,5,2,13,0.792704166214758,FALSE,FALSE
49,0.001,3,40,0.78257308761546,0.0238891403965375,0.0106835483701388,5,5.2,28,0.792704166214758,FALSE,FALSE
50,0.005,3,40,0.78257308761546,0.0238891403965375,0.0106835483701388,5,5.2,27,0.792704166214758,FALSE,FALSE
51,0.01,3,40,0.779479194691059,0.0283073460898118,0.0126594300238864,5,4.8,26,0.792704166214758,FALSE,FALSE
52,0.02,3,40,0.767228765917855,0.035453486810236,0.015855281309416,5,3.6,25,0.792704166214758,FALSE,FALSE
53,0.001,4,40,0.790845923291633,0.0268437274206797,0.012004879856423,5,6.8,40,0.792704166214758,FALSE,FALSE
54,0.005,4,40,0.790845923291633,0.0268437274206797,0.012004879856423,5,6.8,39,0.792704166214758,FALSE,FALSE
55,0.01,4,40,0.791260761366694,0.030557515383535,0.013665736324216,5,6,38,0.792704166214758,FALSE,FALSE
56,0.02,4,40,0.772135521758138,0.0425341938027196,0.0190218697422063,5,4.4,37,0.792704166214758,FALSE,FALSE
57,0.001,5,40,0.803290792305623,0.0242338650083328,0.0108377139032371,5,8,52,0.792704166214758,TRUE,FALSE
58,0.005,5,40,0.803801957223567,0.0248154150957848,0.0110977910088098,5,7.6,51,0.792704166214758,TRUE,FALSE
59,0.01,5,40,0.795903639527845,0.0321126510786503,0.0143612141499188,5,6.6,50,0.792704166214758,TRUE,TRUE
60,0.02,5,40,0.774222575329567,0.0428887614604153,0.0191804372192524,5,4.8,49,0.792704166214758,FALSE,FALSE
