"family","scope","repeat_id","outer_fold","n","r2","rmse","mae","calibration_intercept","calibration_slope","auc","brier_score","log_loss"
"logistic","outer_fold",4,9,60,,,,-0.200548928344538,1.46074342042843,0.834260289210234,0.173667042865005,0.518611676168426
"continuous","outer_fold",5,9,60,0.302704083488943,4.3732234964734,3.22343189149128,-0.732751767205021,0.899707230218877,,,
"logistic","outer_fold",5,9,60,,,,0.0658988548193645,1.43985788129212,0.859844271412681,0.158317176056142,0.478124582904413
"continuous","outer_fold",1,10,60,0.459418621891421,4.23321656932473,3.35501275060459,-0.182111613190852,1.16975505632424,,,
"logistic","outer_fold",1,10,60,,,,0.267678751379311,1.47613510587392,0.887652947719689,0.13800973235086,0.436586937254541
"continuous","outer_fold",2,10,60,0.402917867479647,3.90478188054683,3.1442636782373,0.638976186231177,1.12684370963329,,,
"logistic","outer_fold",2,10,60,,,,-0.0242736041281501,1.10474362532599,0.836484983314794,0.161687072072392,0.49657648862088
"continuous","outer_fold",3,10,60,0.435225242973296,4.16735213037861,3.37831972551248,0.72907776819114,1.27090001199343,,,
"logistic","outer_fold",3,10,60,,,,0.26328348666687,0.939202956948752,0.816462736373749,0.181441877059309,0.532230066186402
"continuous","outer_fold",4,10,60,0.257135297270961,4.21703160743525,3.42914628581257,-0.08006381892341,0.927484102126109,,,
"logistic","outer_fold",4,10,60,,,,-0.298851404449618,0.722542920384164,0.729699666295884,0.214912651243028,0.61867299651063
"continuous","outer_fold",5,10,60,0.400855291840019,4.32926990425972,3.44490159764627,0.924969312988856,1.36858329713082,,,
"logistic","outer_fold",5,10,60,,,,0.42824958411121,1.02375231116516,0.808676307007786,0.181231067020657,0.537256613410346
"continuous","repeat_pooled",1,,615,0.380432038683167,4.20970049792531,3.33768033907647,0.732081791849885,1.15596707475728,,,
"logistic","repeat_pooled",1,,615,,,,-0.00409809676596756,1.24738962918765,0.851502127749666,0.157900009421259,0.481180508552474
"continuous","repeat_pooled",2,,615,0.39153080612296,4.17182440639286,3.31654571932247,0.790855433839932,1.16682192493898,,,
"logistic","repeat_pooled",2,,615,,,,-0.00869349886943289,1.26008985132161,0.849337327715792,0.158878839401114,0.483040538927185
"continuous","repeat_pooled",3,,615,0.381210897135852,4.20705366004712,3.35138467050623,0.55109624967441,1.11463261895711,,,
"logistic","repeat_pooled",3,,615,,,,-0.00436334444376592,1.23519556592615,0.849284398619609,0.158672317730322,0.481399169434913
"continuous","repeat_pooled",4,,615,0.377617532376727,4.21925134956859,3.34958232984972,0.678172095345896,1.14088516241168,,,
"logistic","repeat_pooled",4,,615,,,,0.000761776180298766,1.1954526358251,0.848845087121292,0.159052957844182,0.483767069321446
"continuous","repeat_pooled",5,,615,0.382421699788979,4.20293561239395,3.33771850804938,0.693605605027524,1.15051682371737,,,
"logistic","repeat_pooled",5,,615,,,,0.00646897481942265,1.25643293051483,0.848463997628776,0.15932207051976,0.485617803848461
"continuous","pooled_external_repeated",,,3075,0.382642594821531,4.20218389343658,3.33858231336086,0.687424537192404,1.1453792490228,,,
"logistic","pooled_external_repeated",,,3075,,,,-0.00198015170602894,1.23857277621024,0.849582707005695,0.158765238983328,0.483001018016896
