"family","repeat_id","outer_fold","metric","flexible","frozen","absolute_difference"
"continuous",3,5,"calibration_slope",1.12182423355533,0.89894773763133,0.222876495924004
"logistic",3,5,"r2",,,
"logistic",3,5,"rmse",,,
"logistic",3,5,"mae",,,
"logistic",3,5,"auc",0.878125,0.842708333333333,0.0354166666666668
"logistic",3,5,"brier_score",0.150853122368927,0.160218298291293,0.00936517592236591
"logistic",3,5,"log_loss",0.469096343461681,0.489501834314465,0.0204054908527842
"logistic",3,5,"calibration_intercept",0.0486548254426859,0.0922280435562858,0.0435732181135999
"logistic",3,5,"calibration_slope",1.61189679973435,0.978055074833955,0.633841724900391
"continuous",4,5,"r2",0.443808011129499,0.428591715351378,0.0152162957781217
"continuous",4,5,"rmse",4.07227984901361,4.12760868001135,0.0553288309977438
"continuous",4,5,"mae",3.06972865611321,3.10260835880837,0.0328797026951602
"continuous",4,5,"auc",,,
"continuous",4,5,"brier_score",,,
"continuous",4,5,"log_loss",,,
"continuous",4,5,"calibration_intercept",-0.117466933319928,-0.608013888933966,0.490546955614037
"continuous",4,5,"calibration_slope",1.1420604594614,1.00946666925684,0.13259379020456
"logistic",4,5,"r2",,,
"logistic",4,5,"rmse",,,
"logistic",4,5,"mae",,,
"logistic",4,5,"auc",0.930208333333333,0.904166666666667,0.0260416666666666
"logistic",4,5,"brier_score",0.121252685143615,0.12131685798176,0.0000641728381450823
"logistic",4,5,"log_loss",0.398737722908478,0.393445107206905,0.00529261570157324
"logistic",4,5,"calibration_intercept",0.185875472735004,0.125118827053362,0.0607566456816413
"logistic",4,5,"calibration_slope",2.19048864722132,1.19122249338223,0.999266153839095
"continuous",5,5,"r2",0.506285084769106,0.473349120604958,0.0329359641641486
"continuous",5,5,"rmse",3.85823034340125,3.98484502007258,0.126614676671335
"continuous",5,5,"mae",3.2358365837143,3.29917143512152,0.0633348514072218
"continuous",5,5,"auc",,,
"continuous",5,5,"brier_score",,,
"continuous",5,5,"log_loss",,,
"continuous",5,5,"calibration_intercept",2.0754262073925,0.755509865238232,1.31991634215427
"continuous",5,5,"calibration_slope",1.42769787094712,1.16632224730875,0.261375623638377
"logistic",5,5,"r2",,,
"logistic",5,5,"rmse",,,
"logistic",5,5,"mae",,,
"logistic",5,5,"auc",0.853125,0.80625,0.046875
"logistic",5,5,"brier_score",0.152188803729149,0.183321980886075,0.0311331771569257
"logistic",5,5,"log_loss",0.473912970102437,0.584430071910529,0.110517101808091
"logistic",5,5,"calibration_intercept",-0.0682289071029972,-0.109174534614076,0.0409456275110787
"logistic",5,5,"calibration_slope",1.24695990470828,0.590505702082739,0.656454202625542
"continuous",1,6,"r2",0.299657193672811,0.24867393020304,0.0509832634697713
"continuous",1,6,"rmse",4.26251253384564,4.41493752365757,0.15242498981193
"continuous",1,6,"mae",3.26172708415589,3.40098799453601,0.139260910380116
"continuous",1,6,"auc",,,
"continuous",1,6,"brier_score",,,
"continuous",1,6,"log_loss",,,
"continuous",1,6,"calibration_intercept",0.892205874865511,-0.234169901049709,1.12637577591522
"continuous",1,6,"calibration_slope",1.15244868541875,0.924723585735182,0.227725099683566
"logistic",1,6,"r2",,,
"logistic",1,6,"rmse",,,
"logistic",1,6,"mae",,,
"logistic",1,6,"auc",0.85,0.838541666666667,0.0114583333333333
"logistic",1,6,"brier_score",0.161372413986498,0.165083789895211,0.00371137590871304
"logistic",1,6,"log_loss",0.493107513818124,0.494199919887303,0.00109240606917926
"logistic",1,6,"calibration_intercept",-0.205894726749162,-0.198356182907828,0.00753854384133451
"logistic",1,6,"calibration_slope",1.42115493856427,0.962916740844273,0.458238197719999
"continuous",2,6,"r2",0.46884739795914,0.417229419720582,0.0516179782385575
"continuous",2,6,"rmse",3.84849610165079,4.03116155926638,0.182665457615581
"continuous",2,6,"mae",3.16281858587438,3.27173288398232,0.108914298107935
"continuous",2,6,"auc",,,
"continuous",2,6,"brier_score",,,
"continuous",2,6,"log_loss",,,
"continuous",2,6,"calibration_intercept",0.186076713576164,-0.617475276113303,0.803551989689467
"continuous",2,6,"calibration_slope",1.21773336198749,1.03961746611681,0.178115895870684
"logistic",2,6,"r2",,,
"logistic",2,6,"rmse",,,
"logistic",2,6,"mae",,,
"logistic",2,6,"auc",0.911458333333333,0.894791666666667,0.0166666666666667
"logistic",2,6,"brier_score",0.127959602763796,0.12631222408754,0.0016473786762552
"logistic",2,6,"log_loss",0.413564260503397,0.407261064948156,0.00630319555524139
"logistic",2,6,"calibration_intercept",0.173069675611561,0.112777315289844,0.0602923603217176
"logistic",2,6,"calibration_slope",1.68891934438871,1.1412035900689,0.547715754319813
"continuous",3,6,"r2",0.438382006728774,0.463161747260681,0.0247797405319066
"continuous",3,6,"rmse",4.17422850728014,4.08110191316292,0.093126594117221
"continuous",3,6,"mae",3.45513420079406,3.39755761990736,0.0575765808866966
"continuous",3,6,"auc",,,
"continuous",3,6,"brier_score",,,
"continuous",3,6,"log_loss",,,
"continuous",3,6,"calibration_intercept",0.910801332102931,1.09472512882553,0.183923796722595
"continuous",3,6,"calibration_slope",1.02017602331442,1.10995708302139,0.0897810597069673
"logistic",3,6,"r2",,,
"logistic",3,6,"rmse",,,
"logistic",3,6,"mae",,,
