"family","feature","variable","component","additional","n_models","selection_frequency","mean_coefficient","mean_abs_coefficient","median_coefficient","q025","q975","sign_consistency"
"continuous","correcao_colete_x_lenke__2","correcao_colete_x_lenke","interaction",TRUE,50,1,-1.49475716972732,1.49475716972732,-1.43382605582427,-2.00085174341305,-1.25188942937252,1
"logistic","correcao_colete_x_lenke__2","correcao_colete_x_lenke","interaction",TRUE,50,1,0.257222092148412,0.257222092148412,0.241575924797537,0.145818124591125,0.353924884908285,1
"continuous","correcao_colete_x_lenke__3","correcao_colete_x_lenke","interaction",TRUE,50,1,-0.367846490858958,0.367846490858958,-0.370955774932547,-0.476944043474699,-0.285009441066124,1
"logistic","correcao_colete_x_lenke__3","correcao_colete_x_lenke","interaction",TRUE,50,1,0.261697917877548,0.261697917877548,0.265774767846247,0.164114581166269,0.353974122355568,1
"continuous","correcao_colete_x_lenke__4","correcao_colete_x_lenke","interaction",TRUE,50,1,-1.00082216919229,1.00082216919229,-0.993027609283428,-1.2702872777317,-0.756545618633122,1
"logistic","correcao_colete_x_lenke__4","correcao_colete_x_lenke","interaction",TRUE,50,1,0.492977718082182,0.492977718082182,0.487051258190679,0.403303030308968,0.630943754335336,1
"continuous","correcao_colete_x_lenke__5","correcao_colete_x_lenke","interaction",TRUE,50,1,-0.994497597332658,0.994497597332658,-0.980095368425189,-1.30980115880601,-0.742401870587623,1
"logistic","correcao_colete_x_lenke__5","correcao_colete_x_lenke","interaction",TRUE,50,1,0.390252319048785,0.390252319048785,0.368532396399721,0.289744598652994,0.798199453344132,1
"continuous","correcao_colete_x_lenke__6","correcao_colete_x_lenke","interaction",TRUE,50,1,-0.417555321768096,0.417555321768096,-0.420443407473994,-0.503784366384903,-0.277222603236198,1
"logistic","correcao_colete_x_lenke__6","correcao_colete_x_lenke","interaction",TRUE,50,1,0.421836213225122,0.421836213225122,0.411473659332837,0.382048819033053,0.522565517428088,1
"continuous","escoliometro_maior_10_graus__dummy_lombar","escoliometro_maior_10_graus","dummy",FALSE,50,1,-0.310563011506601,0.310563011506601,-0.32573643183209,-0.419552696100682,-0.141073442982739,1
"logistic","escoliometro_maior_10_graus__dummy_lombar","escoliometro_maior_10_graus","dummy",FALSE,50,0.98,-0.035127908427185,0.0447154842535101,-0.0262541621132224,-0.142039021612368,0.0349218452628396,0.755102040816326
"continuous","escoliometro_maior_10_graus__dummy_toracica","escoliometro_maior_10_graus","dummy",FALSE,50,1,-0.0192039738684494,0.0560798254760171,-0.0111838038075671,-0.150290416123878,0.126949100065678,0.6
"logistic","escoliometro_maior_10_graus__dummy_toracica","escoliometro_maior_10_graus","dummy",FALSE,50,0.98,0.0227536378262886,0.0377028759776527,0.0255959613244449,-0.0602270572140994,0.0908861530280619,0.775510204081633
"continuous","escoliometro_maior_10_graus__dummy_toracica_lombar","escoliometro_maior_10_graus","dummy",FALSE,50,1,2.1790137327282,2.1790137327282,2.16021884220421,1.80871613373367,2.53123121263283,1
"logistic","escoliometro_maior_10_graus__dummy_toracica_lombar","escoliometro_maior_10_graus","dummy",FALSE,50,1,-0.777064688932001,0.777064688932001,-0.737449890859709,-1.24620765803267,-0.606906479376319,1
"continuous","flexibilidade__dummy_rigido","flexibilidade","dummy",FALSE,50,1,0.7709114542144,0.7709114542144,0.769301799284913,0.626923898652703,0.902629064411921,1
"logistic","flexibilidade__dummy_rigido","flexibilidade","dummy",FALSE,50,1,-0.318690296748048,0.318690296748048,-0.3104375864323,-0.537428100856944,-0.225519753940704,1
"continuous","idade__linear","idade","linear",FALSE,50,1,-0.0505551242425789,0.0547494170541797,-0.0513505962092533,-0.115101298554215,-0.00879997416083265,0.98
"logistic","idade__linear","idade","linear",FALSE,50,0.98,0.0321353618786152,0.0338608045509426,0.0332909459786713,0.000855606559438113,0.0622747752209651,0.979591836734694
"continuous","idade__spline_1","idade","spline",TRUE,50,1,-0.861209986167873,0.861209986167873,-0.845115200202983,-1.06944197617333,-0.677062428498258,1
"logistic","idade__spline_1","idade","spline",TRUE,50,0.96,0.318929163191487,0.318929163191487,0.339673196433806,0.0295815974682542,0.461567814104878,1
"continuous","idade__spline_2","idade","spline",TRUE,50,1,-0.91950779729139,0.91950779729139,-0.916705711386564,-1.4166121907349,-0.498488296679065,1
"logistic","idade__spline_2","idade","spline",TRUE,50,1,0.407845708272218,0.407845708272218,0.420457732387982,0.192030236958744,0.62354999528278,1
"continuous","idade__spline_3","idade","spline",TRUE,50,1,0.765322293592963,0.765322293592963,0.79320046273477,0.401865500608896,0.952223555526885,1
"logistic","idade__spline_3","idade","spline",TRUE,50,0.98,-0.241508064871196,0.241508064871196,-0.248236946467114,-0.387636372475059,-0.0769299319993407,1
"continuous","idade_x_risser__1","idade_x_risser","interaction",TRUE,50,1,0.585314900926755,0.585314900926755,0.572399015866695,0.383092452092631,0.77421980540294,1
"logistic","idade_x_risser__1","idade_x_risser","interaction",TRUE,50,1,0.00841034909725231,0.0499795789513383,-0.00217459019802765,-0.0880998580674345,0.140106806228796,0.52
"continuous","idade_x_risser__2","idade_x_risser","interaction",TRUE,50,1,-0.127327277916024,0.155107146412555,-0.133315090270035,-0.452619192119584,0.114134027051229,0.8
"logistic","idade_x_risser__2","idade_x_risser","interaction",TRUE,50,0.98,0.00622446147022514,0.0581464062778175,-0.00785232794027333,-0.135691774329841,0.174423561384595,0.530612244897959
"continuous","idade_x_risser__3","idade_x_risser","interaction",TRUE,50,1,-0.000927767967660516,0.0502707474780775,0.0153374776044389,-0.13460220129884,0.106812922484002,0.58
"logistic","idade_x_risser__3","idade_x_risser","interaction",TRUE,50,0.98,-0.012287303253987,0.0394627178389378,-0.00786529366665726,-0.0943031615817992,0.0919654580603941,0.591836734693878
"continuous","idade_x_risser__4","idade_x_risser","interaction",TRUE,50,1,0.0964102759658899,0.100710194835469,0.100965977366617,-0.00232352193627084,0.191005277487268,0.96
"logistic","idade_x_risser__4","idade_x_risser","interaction",TRUE,50,1,-0.133357875303622,0.133357875303622,-0.124918547393044,-0.298698621139223,-0.0585826943137923,1
"continuous","imc__linear","imc","linear",FALSE,50,1,-0.0239008813322316,0.0305802850938266,-0.0246823975882256,-0.079613558751818,0.031724399457465,0.78
