"threshold","false_positive_rate","true_positive_rate"
0.652352541165651,0.11744966442953,0.649842271293375
0.652238615447394,0.11744966442953,0.65615141955836
0.65144240807965,0.11744966442953,0.659305993690852
0.648644763564843,0.124161073825503,0.659305993690852
0.647379862107148,0.124161073825503,0.665615141955836
0.645614033546203,0.124161073825503,0.67192429022082
0.640829560397075,0.124161073825503,0.675078864353312
0.64051805984773,0.12751677852349,0.675078864353312
0.636525771283638,0.12751677852349,0.681388012618297
0.633808697535113,0.12751677852349,0.684542586750789
0.632390352503033,0.12751677852349,0.687697160883281
0.626829823855262,0.12751677852349,0.694006309148265
0.62675667329141,0.12751677852349,0.700315457413249
0.616837012660837,0.12751677852349,0.703470031545741
0.611321904809858,0.134228187919463,0.703470031545741
0.608916675034158,0.134228187919463,0.709779179810726
0.606380907309423,0.134228187919463,0.71608832807571
0.606302835474451,0.134228187919463,0.722397476340694
0.590649749840717,0.140939597315436,0.722397476340694
0.585592812710459,0.140939597315436,0.725552050473186
0.581683213586844,0.140939597315436,0.73186119873817
0.57901143112146,0.147651006711409,0.73186119873817
0.576842472224177,0.154362416107383,0.73186119873817
0.576213226771036,0.161073825503356,0.73186119873817
0.57616458788843,0.161073825503356,0.738170347003155
0.56852062322111,0.167785234899329,0.738170347003155
0.565072708445064,0.171140939597315,0.741324921135647
0.554347617750433,0.171140939597315,0.744479495268139
0.549466831342582,0.171140939597315,0.747634069400631
0.547865208276583,0.171140939597315,0.750788643533123
0.542758175052643,0.177852348993289,0.750788643533123
0.539882948209763,0.181208053691275,0.750788643533123
0.537756645171324,0.181208053691275,0.753943217665615
0.532710098756597,0.181208053691275,0.760252365930599
0.527343988613133,0.181208053691275,0.766561514195584
0.523713955886935,0.187919463087248,0.766561514195584
0.51532861529807,0.187919463087248,0.772870662460568
0.511850416105907,0.187919463087248,0.779179810725552
0.51068803421852,0.191275167785235,0.779179810725552
0.509253925602222,0.197986577181208,0.779179810725552
0.50841011471862,0.197986577181208,0.785488958990536
0.507464474169592,0.197986577181208,0.79179810725552
0.505292234300649,0.204697986577181,0.79179810725552
0.50429196325783,0.204697986577181,0.798107255520505
0.503239637581711,0.208053691275168,0.798107255520505
0.499316211641494,0.208053691275168,0.801261829652997
0.495647530997422,0.208053691275168,0.807570977917981
0.492546172527503,0.214765100671141,0.807570977917981
0.488702217721529,0.214765100671141,0.813880126182965
0.487243613266271,0.221476510067114,0.813880126182965
0.479014025541266,0.224832214765101,0.813880126182965
0.476282197956005,0.228187919463087,0.813880126182965
0.475493630763509,0.228187919463087,0.817034700315457
0.473247145089722,0.228187919463087,0.82018927444795
0.469983116680134,0.23489932885906,0.82018927444795
0.467047716773449,0.238255033557047,0.82018927444795
0.466677192878931,0.238255033557047,0.826498422712934
0.457419491504213,0.238255033557047,0.832807570977918
0.453246458749986,0.238255033557047,0.83596214511041
0.451854384248149,0.241610738255034,0.83596214511041
0.449905704071164,0.241610738255034,0.842271293375394
0.44330809163328,0.24496644295302,0.842271293375394
0.441140937020027,0.248322147651007,0.842271293375394
0.431971213605816,0.25503355704698,0.842271293375394
0.430912574427244,0.261744966442953,0.842271293375394
0.422118691325087,0.261744966442953,0.845425867507886
0.420958532326003,0.261744966442953,0.848580441640379
0.420381582535899,0.268456375838926,0.848580441640379
0.419957155795665,0.268456375838926,0.854889589905363
0.409121029198686,0.271812080536913,0.854889589905363
0.407820018506804,0.271812080536913,0.861198738170347
0.404762223531917,0.271812080536913,0.867507886435331
