"unit_type","unit","family","variable","component","additional","selection_count","selection_frequency","mean_abs_coefficient","median_abs_coefficient","n_models"
"componente","idade__spline_3","logistic","idade","spline",TRUE,49,0.98,0.241508064871196,0.248236946467114,50
"componente","idade_x_risser__1","continuous","idade_x_risser","interaction",TRUE,50,1,0.585314900926755,0.572399015866695,50
"componente","idade_x_risser__1","logistic","idade_x_risser","interaction",TRUE,50,1,0.0499795789513383,0.0410620255964304,50
"componente","idade_x_risser__2","continuous","idade_x_risser","interaction",TRUE,50,1,0.155107146412555,0.13505899208167,50
"componente","idade_x_risser__2","logistic","idade_x_risser","interaction",TRUE,49,0.98,0.0581464062778175,0.040309278509593,50
"componente","idade_x_risser__3","continuous","idade_x_risser","interaction",TRUE,50,1,0.0502707474780775,0.0397224396378687,50
"componente","idade_x_risser__3","logistic","idade_x_risser","interaction",TRUE,49,0.98,0.0394627178389378,0.0344944561378695,50
"componente","idade_x_risser__4","continuous","idade_x_risser","interaction",TRUE,50,1,0.100710194835469,0.101773884608132,50
"componente","idade_x_risser__4","logistic","idade_x_risser","interaction",TRUE,50,1,0.133357875303622,0.124918547393044,50
"componente","imc__linear","continuous","imc","linear",FALSE,50,1,0.0305802850938266,0.02812571355468,50
"componente","imc__linear","logistic","imc","linear",FALSE,49,0.98,0.042369281089775,0.0425339664488189,50
"componente","imc__spline_1","continuous","imc","spline",TRUE,50,1,0.525981526308192,0.51573880586766,50
"componente","imc__spline_1","logistic","imc","spline",TRUE,50,1,0.168667731003798,0.154811611553402,50
"componente","imc__spline_2","continuous","imc","spline",TRUE,50,1,0.518231961162974,0.528712311994707,50
"componente","imc__spline_2","logistic","imc","spline",TRUE,48,0.96,0.139713968870356,0.122634549616981,50
"componente","imc__spline_3","continuous","imc","spline",TRUE,50,1,0.628482298324997,0.62888576512313,50
"componente","imc__spline_3","logistic","imc","spline",TRUE,50,1,0.690910622763499,0.688463649558934,50
"componente","lenke__dummy_2","continuous","lenke","dummy",FALSE,50,1,1.02801563137074,1.03601646538334,50
"componente","lenke__dummy_2","logistic","lenke","dummy",FALSE,49,0.98,0.23189014846127,0.23566451796401,50
"componente","lenke__dummy_3","continuous","lenke","dummy",FALSE,50,1,1.14254679082016,1.12860751861075,50
