"scope","repeat_id","outer_fold","n","events","nonevents","auc","brier_score","log_loss","calibration_intercept","calibration_slope"
"outer_fold",1,10,60,31,29,0.795884315906563,0.177981370522569,0.520602660354776,0.13684030352479,1.18595115257667
"outer_fold",2,10,60,31,29,0.769744160177976,0.205947248004286,0.608401229921615,-0.079071275098187,0.674649638474269
"outer_fold",3,10,60,31,29,0.741379310344828,0.221058963389206,0.626470550310675,0.515434094983802,0.613587349978468
"outer_fold",4,10,60,31,29,0.669632925472747,0.252049209191131,0.7504856481093,-0.257266820452527,0.364781475390505
"outer_fold",5,10,60,31,29,0.764738598442714,0.219170919530329,0.635838448236938,0.574292868071456,0.573923239182507
"repeat_pooled",1,,615,317,298,0.781900366269346,0.186900813776674,0.605527697584036,0.00849769956297185,0.616984108836606
"repeat_pooled",2,,615,317,298,0.775834691846802,0.191732582375164,0.620583253250739,0.0557657307439682,0.594430900425665
"repeat_pooled",3,,615,317,298,0.797884953316537,0.178907033577414,0.628451341386843,0.0378634073497454,0.545366015100378
"repeat_pooled",4,,615,317,298,0.805527914805327,0.182618694258237,0.649167601121977,-0.017703430785248,0.508742849273919
"repeat_pooled",5,,615,317,298,0.801118921093303,0.183609504217832,0.54524330506807,0.00174182665072433,0.721137418602564
"pooled_external_repeated",,,3075,1585,1490,0.7936203501789,0.184753725641064,0.609794639682333,0.017904958319014,0.594151446702214
